"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","MnC","yes",3,1,"0.93","0.47","0.47"
"2","A","Wol","yes",3,1,"1.58","0.10","0.57"
"3","H","Wat","yes",3,1,"2.27","-0.30","0.27"
"4","A","Pal","yes",0,-3,"1.57","0.10","0.37"
"5","H","Che","yes",0,-3,"1.16","0.34","0.72"
"6","A","Ars","yes",0,-2,"0.87","0.50","1.22"
"7","H","Ast","yes",3,1,"2.16","-0.23","0.98"
"8","A","New","yes",3,1,"1.70","0.03","1.01"
"9","A","WHU","yes",0,-1,"1.20","0.32","1.33"
"10","H","MnU","yes",0,-3,"1.80","-0.03","1.30"
"11","A","Eve","yes",1,0,"1.59","0.09","1.40"
"12","H","Lee","yes",3,1,"2.27","-0.30","1.10"
"13","H","Bre","yes",3,2,"2.19","-0.25","0.85"
"14","H","Nor","yes",3,3,"2.47","-0.41","0.44"
"15","H","Liv","yes",1,0,"1.28","0.27","0.72"
"16","H","Pal","yes",3,3,"2.17","-0.24","0.48"
"17","A","Sot","yes",1,0,"1.59","0.09","0.57"
"18","A","Wat","yes",3,1,"2.21","-0.26","0.31"
"19","A","Lei","yes",3,1,"1.16","0.34","0.65"
"20","A","Che","yes",0,-2,"1.23","0.30","0.95"
"21","H","Sot","yes",0,-1,"2.23","-0.27","0.67"
"22","H","Wol","yes",0,-2,"1.68","0.04","0.71"
"23","A","MnC","yes",3,1,"0.70","0.60","1.31"
"24","A","Bur","yes",0,-1,"1.87","-0.07","1.24"
"25","A","Lee","yes",3,4,"1.93","-0.10","1.14"
"26","H","Eve","yes",3,5,"2.61","-0.49","0.66"
"27","A","MnU","yes",0,-1,"1.28","0.27","0.93"
"28","A","BHA","yes",3,2,"1.99","-0.13","0.79"
"29","H","WHU","yes",3,2,"1.88","-0.07","0.72"
"30","H","New","yes",3,4,"2.33","-0.33","0.39"
"31","A","Ast","no",NA,NA,"1.65","0.06","0.45"
"32","H","BHA","no",NA,NA,"2.01","-0.15","0.30"
"33","A","Bre","no",NA,NA,"1.79","-0.02","0.28"
"34","H","Lei","no",NA,NA,"2.27","-0.30","-0.01"
"35","A","Liv","no",NA,NA,"0.51","0.71","0.69"
"36","H","Ars","no",NA,NA,"1.88","-0.07","0.62"
"37","H","Bur","no",NA,NA,"2.40","-0.37","0.25"
"38","A","Nor","no",NA,NA,"2.20","-0.25","-0.00"
