"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Ast","yes",3,1,"0.95","-0.13","-0.13"
"2","A","BHA","yes",0,-2,"0.92","-0.10","-0.23"
"3","A","Tot","yes",0,-1,"0.44","0.47","0.24"
"4","H","Wol","yes",0,-2,"0.58","0.31","0.55"
"5","A","Nor","yes",3,2,"1.33","-0.59","-0.04"
"6","H","New","yes",1,0,"1.37","-0.63","-0.67"
"7","A","Lee","yes",0,-1,"1.05","-0.26","-0.93"
"8","H","Liv","yes",0,-5,"0.49","0.42","-0.51"
"9","A","Eve","yes",3,3,"0.89","-0.06","-0.57"
"10","H","Sot","yes",0,-1,"1.00","-0.20","-0.77"
"11","A","Ars","yes",0,-1,"0.43","0.48","-0.29"
"12","H","MnU","yes",3,3,"0.68","0.19","-0.10"
"13","A","Lei","yes",0,-2,"0.62","0.26","0.16"
"14","H","Che","yes",0,-1,"0.40","0.53","0.69"
"15","H","MnC","yes",0,-2,"0.25","0.71","1.39"
"16","A","Bre","yes",0,-1,"0.95","-0.13","1.26"
"17","H","WHU","yes",0,-3,"0.65","0.22","1.49"
"18","H","Tot","yes",0,-1,"0.79","0.05","1.54"
"19","A","New","yes",1,0,"1.12","-0.34","1.20"
"20","H","Nor","yes",0,-3,"1.26","-0.51","0.69"
"21","A","Bur","yes",1,0,"1.13","-0.34","0.34"
"22","A","WHU","yes",0,-1,"0.66","0.21","0.56"
"23","H","BHA","no",NA,NA,"0.75","0.10","0.66"
"24","A","Ast","no",NA,NA,"0.78","0.07","0.73"
"25","H","Pal","no",NA,NA,"1.18","-0.41","0.32"
"26","A","MnU","no",NA,NA,"0.60","0.28","0.60"
"27","H","Ars","no",NA,NA,"0.75","0.10","0.71"
"28","A","Sot","no",NA,NA,"0.73","0.13","0.84"
"29","H","Eve","no",NA,NA,"1.51","-0.80","0.04"
"30","A","Liv","no",NA,NA,"0.27","0.68","0.72"
"31","H","Lee","no",NA,NA,"1.11","-0.32","0.40"
"32","H","Bre","no",NA,NA,"1.16","-0.39","0.01"
"33","A","MnC","no",NA,NA,"0.25","0.71","0.71"
"34","H","Bur","no",NA,NA,"1.44","-0.72","-0.00"
"35","A","Pal","no",NA,NA,"0.83","0.01","0.01"
"36","H","Lei","no",NA,NA,"1.11","-0.33","-0.32"
"37","A","Che","no",NA,NA,"0.52","0.38","0.06"
"38","A","Wol","no",NA,NA,"0.89","-0.06","0.00"
