"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Lei","yes",0,-1,"1.34","0.10","0.10"
"2","H","Tot","yes",0,-1,"1.08","0.27","0.37"
"3","H","MnU","yes",0,-1,"1.04","0.30","0.67"
"4","A","Wat","yes",3,2,"2.32","-0.57","0.09"
"5","H","Bre","yes",0,-2,"1.63","-0.11","-0.01"
"6","A","Sot","yes",3,1,"1.77","-0.20","-0.21"
"7","H","New","yes",3,1,"1.64","-0.11","-0.32"
"8","A","Ast","yes",3,1,"1.82","-0.23","-0.55"
"9","A","Lee","yes",1,0,"2.06","-0.40","-0.94"
"10","H","Eve","yes",3,1,"2.07","-0.40","-1.34"
"11","A","Pal","yes",0,-2,"1.84","-0.25","-1.59"
"12","H","WHU","yes",3,1,"1.13","0.24","-1.36"
"13","A","Nor","yes",1,0,"2.32","-0.57","-1.93"
"14","H","Bur","yes",1,0,"1.78","-0.21","-2.13"
"15","H","Liv","yes",0,-1,"0.61","0.59","-1.55"
"16","A","MnC","yes",0,-1,"0.84","0.43","-1.12"
"17","A","BHA","yes",3,1,"2.10","-0.42","-1.54"
"18","H","Che","yes",1,0,"0.55","0.63","-0.91"
"19","A","MnU","yes",3,1,"1.38","0.07","-0.84"
"20","H","Sot","yes",3,2,"1.51","-0.02","-0.87"
"21","A","Bre","yes",3,1,"1.94","-0.31","-1.18"
"22","H","Ars","yes",0,-1,"1.01","0.31","-0.86"
"23","A","Tot","yes",3,2,"1.15","0.22","-0.64"
"24","H","Lei","yes",3,1,"1.62","-0.10","-0.74"
"25","A","Ars","yes",0,-1,"1.03","0.30","-0.44"
"26","A","WHU","yes",0,-1,"1.40","0.05","-0.39"
"27","H","Pal","yes",0,-2,"1.44","0.02","-0.37"
"28","H","Wat","yes",3,4,"1.58","-0.07","-0.44"
"29","A","Eve","yes",3,1,"1.75","-0.18","-0.62"
"30","H","Lee","yes",0,-1,"1.59","-0.08","-0.70"
"31","H","Ast","no",NA,NA,"1.37","0.08","-0.63"
"32","A","New","no",NA,NA,"1.87","-0.27","-0.89"
"33","H","MnC","no",NA,NA,"0.42","0.71","-0.18"
"34","A","Bur","no",NA,NA,"2.08","-0.41","-0.58"
"35","H","BHA","no",NA,NA,"1.26","0.15","-0.43"
"36","A","Che","no",NA,NA,"1.25","0.15","-0.28"
"37","H","Nor","no",NA,NA,"1.89","-0.28","-0.56"
"38","A","Liv","no",NA,NA,"0.65","0.56","-0.00"
