"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Pal","yes",3,2,2,"2.22","-0.01","-0.01"
"2","H","Lei","yes",3,2,4,"2.56","-0.16","-0.17"
"3","A","Bou","yes",3,3,3,"2.46","-0.12","-0.29"
"4","H","Ful","yes",3,1,2,"2.27","-0.03","-0.32"
"5","H","Ast","yes",3,1,2,"2.28","-0.04","-0.35"
"6","A","MnU","yes",0,-2,1,"1.18","0.46","0.11"
"7","A","Bre","yes",3,3,3,"1.98","0.10","0.21"
"8","H","Tot","yes",3,2,3,"2.33","-0.06","0.15"
"9","H","Liv","yes",3,1,3,"2.22","-0.01","0.14"
"10","A","Lee","yes",3,1,1,"2.44","-0.11","0.03"
"11","A","Sot","yes",1,0,1,"2.73","-0.24","-0.21"
"12","H","Not","yes",3,5,5,"2.75","-0.25","-0.46"
"13","A","Che","yes",3,1,1,"2.38","-0.08","-0.54"
"14","A","Wol","yes",3,2,2,"2.20","0.00","-0.54"
"15","H","WHU","yes",3,2,3,"2.59","-0.18","-0.72"
"16","A","BHA","yes",3,2,4,"2.01","0.09","-0.63"
"17","H","New","yes",1,0,0,"1.82","0.17","-0.46"
"18","A","Tot","yes",3,2,2,"1.87","0.15","-0.31"
"19","H","MnU","yes",3,1,3,"2.11","0.04","-0.27"
"20","A","Eve","yes",0,-1,0,"2.54","-0.15","-0.42"
"21","H","Bre","yes",1,0,1,"2.32","-0.05","-0.48"
"22","H","MnC","yes",0,-2,1,"1.46","0.34","-0.14"
"23","A","Ast","yes",3,2,4,"1.90","0.14","0.00"
"24","A","Lei","yes",3,1,1,"2.59","-0.17","-0.17"
"25","H","Eve","yes",3,4,4,"2.55","-0.16","-0.33"
"26","H","Bou","yes",3,1,3,"2.44","-0.11","-0.44"
"27","A","Ful","yes",3,3,3,"2.23","-0.01","-0.46"
"28","H","Pal","yes",3,3,4,"2.49","-0.13","-0.59"
"29","H","Lee","yes",3,3,4,"2.71","-0.23","-0.82"
"30","A","Liv","yes",1,0,2,"1.42","0.36","-0.46"
"31","A","WHU","yes",1,0,2,"2.27","-0.03","-0.50"
"32","H","Sot","yes",1,0,3,"2.59","-0.18","-0.67"
"33","A","MnC","yes",0,-3,1,"0.70","0.68","0.01"
"34","H","Che","yes",3,2,3,"2.42","-0.10","-0.09"
"35","A","New","yes",3,2,2,"1.74","0.21","0.12"
"36","H","BHA","yes",0,-3,0,"2.02","0.08","0.20"
"37","A","Not","yes",0,-1,0,"2.20","0.00","0.20"
"38","H","Wol","no",NA,NA,NA,"2.65","-0.20","0.00"
