"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Ast","yes",3,2,2,"1.89","-0.75","-0.75"
"2","A","MnC","yes",0,-4,0,"0.33","0.69","-0.06"
"3","H","Ars","yes",0,-3,0,"0.38","0.65","0.59"
"4","A","Liv","yes",0,-9,0,"0.59","0.45","1.05"
"5","H","Wol","yes",1,0,0,"1.99","-0.84","0.21"
"6","A","Not","yes",3,1,3,"1.24","-0.14","0.07"
"7","A","New","yes",1,0,1,"0.56","0.49","0.55"
"8","H","Bre","yes",1,0,0,"1.43","-0.32","0.23"
"9","H","Lei","yes",3,1,2,"1.29","-0.19","0.04"
"10","A","Ful","yes",1,0,2,"0.87","0.20","0.24"
"11","H","Sot","yes",0,-1,0,"1.60","-0.48","-0.24"
"12","A","WHU","yes",0,-2,0,"1.17","-0.08","-0.32"
"13","H","Tot","yes",0,-1,2,"0.77","0.28","-0.04"
"14","A","Lee","yes",0,-1,3,"1.06","0.02","-0.02"
"15","H","Eve","yes",3,3,3,"1.62","-0.50","-0.51"
"16","A","Che","no",NA,NA,NA,"0.69","0.36","-0.15"
"17","H","Pal","no",NA,NA,NA,"1.47","-0.36","-0.51"
"18","A","MnU","no",NA,NA,NA,"0.42","0.62","0.11"
"19","A","Bre","no",NA,NA,NA,"0.82","0.24","0.35"
"20","H","Not","no",NA,NA,NA,"1.94","-0.80","-0.44"
"21","A","BHA","no",NA,NA,NA,"0.71","0.34","-0.10"
"22","H","New","no",NA,NA,NA,"0.75","0.31","0.21"
"23","A","Wol","no",NA,NA,NA,"1.30","-0.20","0.01"
"24","H","MnC","no",NA,NA,NA,"0.73","0.33","0.34"
"25","A","Ars","no",NA,NA,NA,"0.16","0.85","1.18"
"26","H","Liv","no",NA,NA,NA,"1.27","-0.17","1.01"
"27","A","Ast","no",NA,NA,NA,"0.84","0.22","1.24"
"28","H","Ful","no",NA,NA,NA,"1.26","-0.17","1.07"
"29","A","Lei","no",NA,NA,NA,"1.30","-0.20","0.87"
"30","A","Tot","no",NA,NA,NA,"0.54","0.50","1.37"
"31","H","WHU","no",NA,NA,NA,"1.75","-0.62","0.75"
"32","A","Sot","no",NA,NA,NA,"1.42","-0.31","0.45"
"33","H","Lee","no",NA,NA,NA,"1.70","-0.57","-0.12"
"34","H","Che","no",NA,NA,NA,"1.18","-0.09","-0.21"
"35","A","Pal","no",NA,NA,NA,"0.86","0.21","-0.00"
"36","H","MnU","no",NA,NA,NA,"0.99","0.08","0.08"
"37","A","Eve","no",NA,NA,NA,"1.35","-0.24","-0.16"
"38","H","BHA","no",NA,NA,NA,"0.91","0.16","0.00"
