"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","New","yes",0,-2,0,"0.37","0.50","0.50"
"2","H","WHU","yes",3,1,1,"1.37","-0.83","-0.32"
"3","A","Eve","yes",1,0,1,"0.88","-0.18","-0.51"
"4","H","Tot","yes",0,-2,0,"0.52","0.31","-0.20"
"5","A","MnC","yes",0,-6,0,"0.10","0.87","0.68"
"6","H","Bou","yes",0,-1,2,"1.20","-0.61","0.06"
"7","H","Ful","yes",0,-1,2,"0.87","-0.17","-0.10"
"8","A","Lei","yes",0,-4,0,"0.85","-0.14","-0.24"
"9","H","Ast","yes",1,0,1,"1.58","-1.11","-1.36"
"10","A","Wol","yes",0,-1,0,"0.81","-0.09","-1.44"
"11","A","BHA","yes",1,0,0,"0.42","0.44","-1.00"
"12","H","Liv","yes",3,1,1,"1.31","-0.75","-1.74"
"13","A","Ars","yes",0,-5,0,"0.10","0.86","-0.88"
"14","H","Bre","yes",1,0,2,"1.40","-0.87","-1.75"
"15","H","Pal","no",NA,NA,NA,"0.91","-0.22","-1.97"
"16","A","MnU","no",NA,NA,NA,"0.25","0.67","-1.30"
"17","H","Che","no",NA,NA,NA,"0.75","-0.01","-1.30"
"18","A","Sot","no",NA,NA,NA,"0.89","-0.19","-1.50"
"19","H","Lei","no",NA,NA,NA,"1.09","-0.46","-1.96"
"20","A","Bou","no",NA,NA,NA,"0.88","-0.18","-2.14"
"21","H","Lee","no",NA,NA,NA,"1.24","-0.66","-2.80"
"22","A","Ful","no",NA,NA,NA,"0.56","0.26","-2.54"
"23","H","MnC","no",NA,NA,NA,"0.45","0.40","-2.15"
"24","A","WHU","no",NA,NA,NA,"0.62","0.17","-1.98"
"25","H","Eve","no",NA,NA,NA,"1.11","-0.48","-2.46"
"26","A","Tot","no",NA,NA,NA,"0.24","0.68","-1.78"
"27","H","New","no",NA,NA,NA,"0.50","0.33","-1.45"
"28","H","Wol","no",NA,NA,NA,"1.60","-1.13","-2.58"
"29","A","Ast","no",NA,NA,NA,"0.50","0.34","-2.25"
"30","H","MnU","no",NA,NA,NA,"0.65","0.13","-2.12"
"31","A","Liv","no",NA,NA,NA,"0.38","0.49","-1.63"
"32","H","BHA","no",NA,NA,NA,"0.59","0.21","-1.42"
"33","A","Bre","no",NA,NA,NA,"0.49","0.35","-1.08"
"34","H","Sot","no",NA,NA,NA,"1.13","-0.50","-1.58"
"35","A","Che","no",NA,NA,NA,"0.40","0.46","-1.12"
"36","H","Ars","no",NA,NA,NA,"0.27","0.64","-0.48"
"37","A","Pal","no",NA,NA,NA,"0.50","0.33","-0.15"
"38","A","Lee","no",NA,NA,NA,"0.63","0.15","-0.00"
