"team","teamId","playedGames","goalDifference","points","rank"
"Arsenal FC",57,34,56,77,1
"Manchester City FC",65,33,48,76,2
"Liverpool FC",64,35,41,75,3
"Aston Villa FC",58,35,21,67,4
"Tottenham Hotspur FC",73,32,16,60,5
"Manchester United FC",66,34,1,54,6
"Newcastle United FC",67,34,19,53,7
"West Ham United FC",563,35,-9,49,8
"Chelsea FC",61,33,4,48,9
"Wolverhampton Wanderers FC",76,35,-7,46,10
"AFC Bournemouth",1044,34,-11,45,11
"Brighton & Hove Albion FC",397,33,-2,44,12
"Fulham FC",63,35,-4,43,13
"Crystal Palace FC",354,35,-12,40,14
"Everton FC",62,35,-11,36,15
"Brentford FC",402,35,-8,35,16
"Nottingham Forest FC",351,34,-18,26,17
"Luton Town FC",389,35,-29,25,18
"Burnley FC",328,35,-32,24,19
"Sheffield United FC",356,35,-63,16,20
