"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Eve","yes",3,1,1,"0.95","0.20","0.20"
"2","H","Bre","yes",0,-3,0,"1.80","-0.50","-0.29"
"3","A","Ars","yes",1,0,2,"0.27","0.78","0.48"
"4","A","MnC","yes",0,-4,1,"0.27","0.78","1.26"
"5","H","Lut","yes",3,1,1,"2.21","-0.85","0.41"
"6","A","Pal","yes",1,0,0,"1.05","0.12","0.54"
"7","H","Che","yes",0,-2,0,"1.38","-0.15","0.39"
"8","H","ShU","yes",3,2,3,"2.46","-1.05","-0.66"
"9","A","Tot","yes",0,-2,0,"0.47","0.61","-0.06"
"10","A","BHA","yes",1,0,1,"0.73","0.39","0.33"
"11","H","MnU","yes",0,-1,0,"1.32","-0.10","0.23"
"12","A","Ast","yes",0,-2,1,"0.45","0.62","0.85"
"13","H","Wol","yes",3,1,3,"1.66","-0.38","0.47"
"14","A","Liv","yes",0,-1,3,"0.24","0.80","1.27"
"15","H","Not","yes",3,5,5,"1.93","-0.61","0.66"
"16","H","WHU","yes",3,5,5,"1.42","-0.19","0.47"
"17","A","New","yes",0,-3,0,"0.47","0.61","1.08"
"18","H","Bur","yes",0,-2,0,"1.99","-0.66","0.41"
"19","A","Bou","yes",0,-3,0,"1.00","0.17","0.58"
"20","H","Ars","yes",3,1,2,"0.54","0.55","1.13"
"21","A","Che","yes",0,-1,0,"0.62","0.48","1.61"
"22","H","Eve","yes",1,0,0,"1.60","-0.33","1.28"
"23","A","Bur","yes",1,0,2,"1.91","-0.60","0.69"
"24","H","Bou","yes",3,2,3,"1.51","-0.26","0.42"
"25","H","Ast","yes",0,-1,1,"1.07","0.11","0.53"
"26","A","MnU","yes",3,1,2,"0.75","0.37","0.91"
"27","H","BHA","yes",3,3,3,"1.73","-0.44","0.47"
"28","A","Wol","yes",0,-1,1,"1.00","0.16","0.63"
"29","H","Tot","yes",3,3,3,"1.25","-0.04","0.59"
"30","A","ShU","yes",1,0,3,"1.98","-0.65","-0.06"
"31","A","Not","yes",0,-2,1,"1.36","-0.14","-0.20"
"32","H","New","yes",0,-1,0,"1.65","-0.38","-0.57"
"33","A","WHU","yes",3,2,2,"0.90","0.24","-0.33"
"34","H","Liv","yes",0,-2,1,"0.84","0.30","-0.03"
"35","H","Pal","yes",1,0,1,"1.56","-0.30","-0.33"
"36","A","Bre","yes",1,0,0,"1.18","0.01","-0.32"
"37","H","MnC","yes",0,-4,0,"0.47","0.61","0.28"
"38","A","Lut","no",NA,NA,NA,"1.54","-0.28","-0.00"
