"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","MnC","yes",0,-2,0,"1.75","0.20","0.20"
"2","A","Wol","yes",3,4,6,"2.78","-0.27","-0.07"
"3","H","Pal","yes",1,0,1,"2.49","-0.14","-0.21"
"4","A","Bou","yes",3,1,1,"2.01","0.08","-0.13"
"5","A","WHU","yes",3,3,3,"2.55","-0.16","-0.30"
"6","H","BHA","yes",3,2,4,"1.61","0.26","-0.04"
"7","H","Not","yes",1,0,1,"1.31","0.40","0.36"
"8","A","Liv","yes",0,-1,1,"0.90","0.59","0.95"
"9","H","New","yes",3,1,2,"2.11","0.03","0.98"
"10","A","MnU","yes",1,0,1,"2.34","-0.07","0.92"
"11","H","Ars","yes",1,0,1,"1.52","0.31","1.22"
"12","A","Lei","yes",3,1,2,"2.53","-0.16","1.06"
"13","H","Ast","yes",3,3,3,"1.87","0.14","1.20"
"14","A","Sot","yes",3,4,5,"2.85","-0.31","0.90"
"15","A","Tot","yes",3,1,4,"2.37","-0.08","0.81"
"16","H","Bre","no",NA,NA,NA,"2.65","-0.21","0.60"
"17","A","Eve","no",NA,NA,NA,"2.64","-0.21","0.39"
"18","H","Ful","no",NA,NA,NA,"2.14","0.02","0.41"
"19","A","Ips","no",NA,NA,NA,"2.83","-0.29","0.12"
"20","A","Pal","no",NA,NA,NA,"2.69","-0.23","-0.12"
"21","H","Bou","no",NA,NA,NA,"1.96","0.10","-0.01"
"22","H","Wol","no",NA,NA,NA,"2.50","-0.14","-0.16"
"23","A","MnC","no",NA,NA,NA,"1.88","0.14","-0.02"
"24","H","WHU","no",NA,NA,NA,"2.13","0.03","0.01"
"25","A","BHA","no",NA,NA,NA,"2.28","-0.04","-0.03"
"26","A","Ast","no",NA,NA,NA,"2.42","-0.11","-0.14"
"27","H","Sot","no",NA,NA,NA,"2.80","-0.28","-0.42"
"28","H","Lei","no",NA,NA,NA,"2.53","-0.16","-0.58"
"29","A","Ars","no",NA,NA,NA,"1.45","0.34","-0.24"
"30","H","Tot","no",NA,NA,NA,"2.13","0.03","-0.22"
"31","A","Bre","no",NA,NA,NA,"1.61","0.26","0.05"
"32","H","Ips","no",NA,NA,NA,"2.56","-0.17","-0.12"
"33","A","Ful","no",NA,NA,NA,"2.32","-0.06","-0.19"
"34","H","Eve","no",NA,NA,NA,"2.59","-0.19","-0.37"
"35","H","Liv","no",NA,NA,NA,"0.78","0.64","0.27"
"36","A","New","no",NA,NA,NA,"2.25","-0.03","0.24"
"37","H","MnU","no",NA,NA,NA,"2.48","-0.13","0.11"
"38","A","Not","no",NA,NA,NA,"2.42","-0.11","0.00"
