"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","BHA","yes",0,-3,0,"1.02","0.12","0.12"
"2","A","Tot","yes",0,-4,0,"1.14","0.02","0.13"
"3","H","Bou","yes",0,-1,2,"1.06","0.08","0.22"
"4","A","Ast","yes",0,-1,2,"0.64","0.44","0.66"
"5","A","Lei","yes",1,0,1,"1.66","-0.43","0.23"
"6","H","Pal","yes",3,1,2,"1.05","0.09","0.32"
"7","H","New","yes",1,0,0,"1.11","0.04","0.35"
"8","A","Ips","yes",3,2,2,"1.95","-0.69","-0.34"
"9","H","Ful","yes",1,0,1,"0.99","0.15","-0.19"
"10","A","Sot","yes",0,-1,0,"2.26","-0.96","-1.14"
"11","A","WHU","yes",1,0,0,"1.30","-0.13","-1.27"
"12","H","Bre","yes",1,0,0,"1.56","-0.35","-1.62"
"13","A","MnU","yes",0,-4,0,"1.02","0.11","-1.51"
"14","H","Wol","yes",3,4,4,"1.64","-0.42","-1.93"
"15","A","Ars","yes",1,0,0,"0.45","0.61","-1.32"
"16","H","Che","yes",1,0,0,"1.23","-0.07","-1.39"
"17","A","MnC","yes",1,0,1,"0.50","0.56","-0.83"
"18","H","Not","yes",0,-2,0,"0.88","0.24","-0.59"
"19","A","Bou","yes",0,-1,0,"0.69","0.40","-0.18"
"20","H","Ast","yes",0,-1,0,"1.53","-0.33","-0.51"
"21","H","Tot","yes",3,1,3,"1.46","-0.26","-0.77"
"22","A","BHA","yes",3,1,1,"0.82","0.29","-0.48"
"23","H","Lei","yes",3,4,4,"1.92","-0.67","-1.15"
"24","H","Liv","yes",1,0,2,"0.41","0.64","-0.51"
"25","A","Pal","yes",3,1,2,"1.33","-0.15","-0.66"
"26","H","MnU","yes",1,0,2,"1.65","-0.43","-1.09"
"27","A","Bre","yes",1,0,1,"0.72","0.37","-0.71"
"28","A","Wol","no",NA,NA,NA,"1.52","-0.32","-1.03"
"29","H","WHU","no",NA,NA,NA,"1.35","-0.17","-1.20"
"30","A","Liv","no",NA,NA,NA,"0.25","0.78","-0.41"
"31","H","Ars","no",NA,NA,NA,"0.74","0.36","-0.06"
"32","A","Not","no",NA,NA,NA,"0.51","0.56","0.50"
"33","H","MnC","no",NA,NA,NA,"1.05","0.09","0.59"
"34","A","Che","no",NA,NA,NA,"0.54","0.54","1.13"
"35","H","Ips","no",NA,NA,NA,"1.94","-0.68","0.45"
"36","A","Ful","no",NA,NA,NA,"0.97","0.16","0.60"
"37","H","Sot","no",NA,NA,NA,"2.40","-1.08","-0.47"
"38","A","New","no",NA,NA,NA,"0.61","0.47","0.00"
