"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Liv","yes",0,-2,0,"0.13","0.81","0.81"
"2","A","MnC","yes",0,-3,1,"0.37","0.46","1.28"
"3","H","Ful","yes",1,0,1,"0.38","0.46","1.74"
"4","A","BHA","yes",1,0,0,"0.79","-0.13","1.60"
"5","A","Sot","yes",1,0,1,"2.10","-2.01","-0.41"
"6","H","Ast","yes",1,0,2,"0.56","0.20","-0.21"
"7","A","WHU","yes",0,-3,1,"1.04","-0.49","-0.70"
"8","H","Eve","yes",0,-2,0,"0.77","-0.10","-0.80"
"9","A","Bre","yes",0,-1,3,"0.56","0.20","-0.61"
"10","H","Lei","yes",1,0,1,"1.16","-0.66","-1.27"
"11","A","Tot","yes",3,1,2,"0.93","-0.33","-1.61"
"12","H","MnU","yes",1,0,1,"0.74","-0.06","-1.66"
"13","A","Not","yes",0,-1,0,"0.40","0.43","-1.23"
"14","H","Pal","yes",0,-1,0,"0.43","0.38","-0.86"
"15","H","Bou","yes",0,-1,1,"0.33","0.52","-0.33"
"16","A","Wol","yes",3,1,2,"1.27","-0.82","-1.15"
"17","H","New","yes",0,-4,0,"0.39","0.44","-0.71"
"18","A","Ars","yes",0,-1,0,"0.28","0.60","-0.10"
"19","H","Che","yes",3,2,2,"0.43","0.38","0.28"
"20","A","Ful","yes",1,0,2,"0.76","-0.09","0.19"
"21","H","BHA","yes",0,-2,0,"0.38","0.46","0.65"
"22","H","MnC","yes",0,-6,0,"0.42","0.40","1.04"
"23","A","Liv","yes",0,-3,1,"0.22","0.69","1.73"
"24","H","Sot","yes",0,-1,1,"1.56","-1.24","0.49"
"25","A","Ast","yes",1,0,1,"0.62","0.12","0.61"
"26","H","Tot","no",NA,NA,NA,"0.65","0.07","0.68"
"27","A","MnU","no",NA,NA,NA,"0.94","-0.35","0.33"
"28","A","Pal","no",NA,NA,NA,"1.34","-0.92","-0.58"
"29","H","Not","no",NA,NA,NA,"0.26","0.63","0.05"
"30","A","Bou","no",NA,NA,NA,"0.47","0.32","0.37"
"31","H","Wol","no",NA,NA,NA,"0.88","-0.26","0.11"
"32","A","Che","no",NA,NA,NA,"0.45","0.36","0.47"
"33","H","Ars","no",NA,NA,NA,"0.24","0.66","1.13"
"34","A","New","no",NA,NA,NA,"0.59","0.15","1.28"
"35","A","Eve","no",NA,NA,NA,"0.82","-0.18","1.10"
"36","H","Bre","no",NA,NA,NA,"0.76","-0.09","1.01"
"37","A","Lei","no",NA,NA,NA,"1.44","-1.06","-0.06"
"38","H","WHU","no",NA,NA,NA,"0.66","0.06","-0.00"
