"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Tot","yes",1,0,1,"1.03","-0.41","-0.41"
"2","A","Ful","yes",0,-1,1,"0.51","0.30","-0.11"
"3","H","Ast","yes",0,-1,1,"0.85","-0.17","-0.28"
"4","A","Pal","yes",1,0,2,"0.76","-0.04","-0.33"
"5","H","Eve","yes",1,0,1,"1.49","-1.04","-1.37"
"6","A","Ars","yes",0,-2,2,"0.16","0.77","-0.59"
"7","H","Bou","yes",3,1,1,"0.66","0.10","-0.49"
"8","A","Sot","yes",3,1,3,"1.73","-1.38","-1.87"
"9","H","Not","yes",0,-2,1,"0.31","0.58","-1.30"
"10","A","Ips","yes",1,0,1,"1.03","-0.42","-1.71"
"11","A","MnU","yes",0,-3,0,"0.55","0.24","-1.47"
"12","H","Che","yes",0,-1,1,"0.54","0.26","-1.22"
"13","A","Bre","yes",0,-3,1,"0.26","0.65","-0.57"
"14","H","WHU","yes",3,2,3,"0.90","-0.24","-0.81"
"15","H","BHA","yes",1,0,2,"0.66","0.09","-0.72"
"16","A","New","yes",0,-4,0,"0.28","0.62","-0.10"
"17","H","Wol","yes",0,-3,0,"1.15","-0.58","-0.67"
"18","A","Liv","yes",0,-2,1,"0.14","0.81","0.13"
"19","H","MnC","yes",0,-2,0,"0.66","0.10","0.23"
"20","A","Ast","yes",0,-1,1,"0.34","0.54","0.77"
"21","H","Pal","no",NA,NA,NA,"0.98","-0.35","0.42"
"22","H","Ful","no",NA,NA,NA,"0.79","-0.08","0.34"
"23","A","Tot","no",NA,NA,NA,"0.57","0.22","0.56"
"24","A","Eve","no",NA,NA,NA,"0.67","0.09","0.65"
"25","H","Ars","no",NA,NA,NA,"0.42","0.42","1.07"
"26","H","Bre","no",NA,NA,NA,"1.57","-1.15","-0.08"
"27","A","WHU","no",NA,NA,NA,"0.53","0.28","0.20"
"28","A","Che","no",NA,NA,NA,"0.32","0.56","0.76"
"29","H","MnU","no",NA,NA,NA,"1.15","-0.58","0.18"
"30","A","MnC","no",NA,NA,NA,"0.31","0.58","0.76"
"31","H","New","no",NA,NA,NA,"0.59","0.19","0.96"
"32","A","BHA","no",NA,NA,NA,"0.51","0.30","1.25"
"33","H","Liv","no",NA,NA,NA,"0.22","0.70","1.96"
"34","A","Wol","no",NA,NA,NA,"0.99","-0.35","1.60"
"35","H","Sot","no",NA,NA,NA,"2.20","-2.02","-0.42"
"36","A","Not","no",NA,NA,NA,"0.27","0.62","0.20"
"37","H","Ips","no",NA,NA,NA,"1.28","-0.75","-0.55"
"38","A","Bou","no",NA,NA,NA,"0.33","0.55","0.00"
