"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Che","yes",3,2,2,"0.79","0.56","0.56"
"2","H","Ips","yes",3,3,4,"2.52","-0.40","0.16"
"3","A","WHU","yes",3,2,3,"1.85","-0.03","0.14"
"4","H","Bre","yes",3,1,2,"2.09","-0.16","-0.02"
"5","H","Ars","yes",1,0,2,"1.62","0.10","0.08"
"6","A","New","yes",1,0,1,"0.83","0.54","0.62"
"7","H","Ful","yes",3,1,3,"1.98","-0.10","0.52"
"8","A","Wol","yes",3,1,2,"1.80","-0.00","0.52"
"9","H","Sot","yes",3,1,1,"2.78","-0.54","-0.03"
"10","A","Bou","yes",0,-1,1,"1.48","0.18","0.15"
"11","A","BHA","yes",0,-1,1,"1.36","0.25","0.40"
"12","H","Tot","yes",0,-4,0,"2.43","-0.35","0.05"
"13","A","Liv","yes",0,-2,0,"0.47","0.74","0.78"
"14","H","Not","yes",3,3,3,"1.72","0.04","0.82"
"15","A","Pal","yes",1,0,2,"1.68","0.07","0.89"
"16","H","MnU","yes",0,-1,1,"2.40","-0.33","0.56"
"17","A","Ast","yes",0,-1,1,"0.84","0.54","1.10"
"18","H","Eve","yes",1,0,1,"2.26","-0.26","0.84"
"19","A","Lei","yes",3,2,2,"2.12","-0.18","0.66"
"20","H","WHU","yes",3,3,4,"2.24","-0.24","0.42"
"21","A","Bre","yes",1,0,2,"1.29","0.28","0.70"
"22","A","Ips","yes",3,6,6,"2.48","-0.38","0.32"
"23","H","Che","yes",3,2,3,"2.06","-0.14","0.18"
"24","A","Ars","yes",0,-4,1,"0.88","0.51","0.69"
"25","H","New","yes",3,4,4,"1.97","-0.10","0.59"
"26","H","Liv","yes",0,-2,0,"1.29","0.28","0.88"
"27","A","Tot","yes",3,1,1,"1.76","0.02","0.90"
"28","A","Not","yes",0,-1,0,"1.15","0.36","1.26"
"29","H","BHA","yes",1,0,2,"1.99","-0.11","1.15"
"30","H","Lei","yes",3,2,2,"2.64","-0.47","0.69"
"31","A","MnU","yes",1,0,0,"1.76","0.02","0.71"
"32","H","Pal","yes",3,3,5,"2.01","-0.12","0.59"
"33","A","Eve","yes",3,2,2,"1.65","0.08","0.67"
"34","H","Ast","yes",3,1,2,"1.98","-0.10","0.57"
"35","H","Wol","yes",3,1,1,"2.24","-0.24","0.33"
"36","A","Sot","yes",1,0,0,"2.57","-0.43","-0.10"
"37","H","Bou","no",NA,NA,NA,"1.94","-0.08","-0.18"
"38","A","Ful","no",NA,NA,NA,"1.48","0.18","0.00"
