"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Ars","Arsenal",17,21,39,1,1,16.4,2.38
"MnC","Manchester City",17,25,37,2,2,16.7,2.22
"Ast","Aston Villa",17,9,36,3,3,16.9,2.14
"Liv","Liverpool",17,3,29,5,4,16.5,1.76
"Sun","Sunderland",17,2,27,6,5,16.5,1.63
"Che","Chelsea",17,12,29,4,6,17.9,1.62
"Eve","Everton",17,-2,24,10,7,15.5,1.55
"MnU","Manchester United",17,3,26,7,8,17.2,1.51
"Pal","Crystal Palace",17,2,26,8,9,17.4,1.49
"New","Newcastle",17,1,23,11,10,15.9,1.44
"BHA","Brighton",17,2,24,9,11,18.3,1.31
"Bre","Brentford",17,-1,23,12,12,17.8,1.29
"Tot","Tottenham",17,3,22,13,13,17.1,1.29
"Bou","Bournemouth",17,-3,22,14,14,18.1,1.22
"Ful","Fulham",16,-3,20,15,15,16.4,1.22
"Lee","Leeds United",17,-7,19,16,16,16.7,1.13
"Not","Nottingham Forest",16,-8,18,17,17,17.8,1.01
"WHU","West Ham",17,-16,13,18,18,14.1,0.92
"Bur","Burnley",17,-15,11,19,19,17.8,0.62
"Wol","Wolves",17,-28,2,20,20,20,0.1
