"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Not","yes",0,-2,1,"1.11","0.23","0.23"
"2","H","Ast","yes",3,1,1,"1.57","-0.08","0.14"
"3","A","Sun","yes",0,-1,1,"0.40","0.73","0.87"
"4","H","Che","yes",1,0,2,"1.92","-0.33","0.54"
"5","A","Ful","yes",0,-2,1,"0.55","0.62","1.16"
"6","H","MnU","yes",3,2,3,"2.08","-0.44","0.72"
"7","H","MnC","yes",0,-1,0,"1.53","-0.06","0.66"
"8","A","WHU","yes",3,2,2,"1.56","-0.08","0.58"
"9","H","Liv","yes",3,1,3,"1.90","-0.32","0.26"
"10","A","Pal","yes",0,-2,0,"0.98","0.32","0.59"
"11","H","New","yes",3,2,3,"2.23","-0.54","0.04"
"12","A","BHA","yes",0,-1,1,"0.56","0.61","0.65"
"13","H","Bur","yes",3,2,3,"2.66","-0.84","-0.19"
"14","A","Ars","yes",0,-2,0,"0.15","0.90","0.70"
"15","A","Tot","yes",0,-2,0,"1.44","0.00","0.71"
"16","H","Lee","yes",1,0,1,"2.51","-0.74","-0.03"
"17","A","Wol","yes",3,2,2,"2.08","-0.44","-0.47"
"18","H","Bou","yes",3,3,4,"2.32","-0.60","-1.08"
"19","H","Tot","yes",1,0,0,"1.69","-0.17","-1.25"
"20","A","Eve","yes",3,2,4,"0.85","0.41","-0.84"
"21","H","Sun","yes",3,3,3,"2.28","-0.58","-1.42"
"22","A","Che","yes",0,-2,0,"0.63","0.56","-0.86"
"23","H","Not","no",NA,NA,NA,"2.35","-0.63","-1.49"
"24","A","Ast","no",NA,NA,NA,"0.21","0.86","-0.63"
"25","A","New","no",NA,NA,NA,"0.38","0.73","0.11"
"26","H","Ars","no",NA,NA,NA,"1.23","0.15","0.26"
"27","H","BHA","no",NA,NA,NA,"2.36","-0.64","-0.38"
"28","A","Bur","no",NA,NA,NA,"1.37","0.05","-0.33"
"29","A","Bou","no",NA,NA,NA,"0.68","0.53","0.20"
"30","H","Wol","no",NA,NA,NA,"2.75","-0.90","-0.71"
"31","A","Lee","no",NA,NA,NA,"0.56","0.61","-0.10"
"32","H","Eve","no",NA,NA,NA,"2.01","-0.39","-0.49"
"33","H","Ful","no",NA,NA,NA,"2.30","-0.59","-1.08"
"34","A","MnU","no",NA,NA,NA,"0.53","0.64","-0.44"
"35","H","WHU","no",NA,NA,NA,"2.41","-0.67","-1.11"
"36","A","MnC","no",NA,NA,NA,"0.28","0.81","-0.31"
"37","H","Pal","no",NA,NA,NA,"1.90","-0.32","-0.63"
"38","A","Liv","no",NA,NA,NA,"0.54","0.63","0.00"
