"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Eve","yes",3,1,1,"1.79","-0.44","-0.44"
"2","A","Ars","yes",0,-5,0,"0.28","0.77","0.33"
"3","H","New","yes",1,0,0,"1.59","-0.28","0.06"
"4","A","Ful","yes",0,-1,0,"0.88","0.29","0.35"
"5","A","Wol","yes",3,2,3,"2.60","-1.09","-0.75"
"6","H","Bou","yes",1,0,2,"0.85","0.31","-0.43"
"7","H","Tot","no",NA,NA,NA,"0.88","0.29","-0.14"
"8","A","Bur","no",NA,NA,NA,"1.14","0.08","-0.06"
"9","H","WHU","no",NA,NA,NA,"1.85","-0.49","-0.56"
"10","A","BHA","no",NA,NA,NA,"0.75","0.39","-0.16"
"11","A","Not","no",NA,NA,NA,"1.56","-0.26","-0.42"
"12","H","Ast","no",NA,NA,NA,"1.81","-0.45","-0.87"
"13","A","MnC","no",NA,NA,NA,"0.67","0.46","-0.41"
"14","H","Che","no",NA,NA,NA,"1.47","-0.18","-0.59"
"15","H","Liv","no",NA,NA,NA,"0.42","0.66","0.07"
"16","A","Bre","no",NA,NA,NA,"0.72","0.42","0.49"
"17","H","Pal","no",NA,NA,NA,"0.76","0.39","0.88"
"18","A","Sun","no",NA,NA,NA,"0.67","0.46","1.34"
"19","A","Liv","no",NA,NA,NA,"0.06","0.95","2.29"
"20","H","MnU","no",NA,NA,NA,"1.85","-0.49","1.80"
"21","A","New","no",NA,NA,NA,"1.12","0.10","1.90"
"22","H","Ful","no",NA,NA,NA,"2.11","-0.70","1.20"
"23","A","Eve","no",NA,NA,NA,"0.99","0.20","1.40"
"24","H","Ars","no",NA,NA,NA,"0.34","0.73","2.13"
"25","H","Not","no",NA,NA,NA,"1.91","-0.54","1.59"
"26","A","Che","no",NA,NA,NA,"0.94","0.25","1.84"
"27","A","Ast","no",NA,NA,NA,"1.09","0.12","1.96"
"28","H","MnC","no",NA,NA,NA,"1.38","-0.11","1.85"
"29","H","Sun","no",NA,NA,NA,"1.37","-0.10","1.76"
"30","A","Pal","no",NA,NA,NA,"0.47","0.63","2.38"
"31","H","Bre","no",NA,NA,NA,"2.40","-0.93","1.45"
"32","A","MnU","no",NA,NA,NA,"0.59","0.53","1.98"
"33","H","Wol","no",NA,NA,NA,"2.74","-1.20","0.78"
"34","A","Bou","no",NA,NA,NA,"0.41","0.67","1.45"
"35","H","Bur","no",NA,NA,NA,"2.32","-0.86","0.59"
"36","A","Tot","no",NA,NA,NA,"1.19","0.05","0.63"
"37","H","BHA","no",NA,NA,NA,"1.43","-0.15","0.48"
"38","A","WHU","no",NA,NA,NA,"1.84","-0.48","0.00"
