"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Bou","yes",3,2,4,"2.24","-0.28","-0.28"
"2","A","New","yes",3,1,3,"1.19","0.32","0.04"
"3","H","Ars","yes",3,1,1,"1.06","0.39","0.44"
"4","A","Bur","yes",3,1,1,"2.23","-0.27","0.17"
"5","H","Eve","yes",3,1,2,"1.90","-0.08","0.08"
"6","A","Pal","yes",0,-1,1,"1.74","0.01","0.09"
"7","A","Che","yes",0,-1,1,"1.25","0.29","0.37"
"8","H","MnU","yes",0,-1,1,"1.95","-0.11","0.26"
"9","A","Bre","yes",0,-1,2,"0.99","0.43","0.70"
"10","H","Ast","yes",3,2,2,"1.40","0.20","0.90"
"11","A","MnC","yes",0,-3,0,"0.43","0.76","1.66"
"12","H","Not","yes",0,-3,0,"2.43","-0.39","1.27"
"13","A","WHU","yes",3,2,2,"2.21","-0.26","1.01"
"14","H","Sun","yes",1,0,1,"2.11","-0.20","0.80"
"15","A","Lee","yes",1,0,3,"1.28","0.27","1.07"
"16","H","BHA","yes",3,2,2,"2.32","-0.33","0.75"
"17","A","Tot","yes",3,1,2,"2.27","-0.29","0.45"
"18","H","Wol","no",NA,NA,NA,"2.92","-0.67","-0.21"
"19","H","Lee","no",NA,NA,NA,"2.64","-0.51","-0.72"
"20","A","Ful","no",NA,NA,NA,"1.41","0.19","-0.52"
"21","A","Ars","no",NA,NA,NA,"0.33","0.81","0.29"
"22","H","Bur","no",NA,NA,NA,"2.73","-0.56","-0.27"
"23","A","Bou","no",NA,NA,NA,"1.67","0.05","-0.22"
"24","H","New","no",NA,NA,NA,"2.31","-0.32","-0.54"
"25","H","MnC","no",NA,NA,NA,"1.34","0.24","-0.30"
"26","A","Sun","no",NA,NA,NA,"0.89","0.49","0.19"
"27","A","Not","no",NA,NA,NA,"1.94","-0.11","0.09"
"28","H","WHU","no",NA,NA,NA,"2.29","-0.30","-0.22"
"29","A","Wol","no",NA,NA,NA,"2.88","-0.65","-0.86"
"30","H","Tot","no",NA,NA,NA,"1.47","0.16","-0.70"
"31","A","BHA","no",NA,NA,NA,"1.35","0.23","-0.47"
"32","H","Ful","no",NA,NA,NA,"2.31","-0.32","-0.79"
"33","A","Eve","no",NA,NA,NA,"1.33","0.24","-0.55"
"34","H","Pal","no",NA,NA,NA,"1.60","0.09","-0.46"
"35","A","MnU","no",NA,NA,NA,"1.21","0.31","-0.15"
"36","H","Che","no",NA,NA,NA,"1.83","-0.04","-0.20"
"37","A","Ast","no",NA,NA,NA,"0.56","0.68","0.48"
"38","H","Bre","no",NA,NA,NA,"2.60","-0.48","0.00"
