"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Ast","yes",1,0,0,"0.55","0.56","0.56"
"2","H","Liv","yes",0,-1,2,"1.36","-0.09","0.47"
"3","A","Lee","yes",1,0,0,"0.90","0.28","0.75"
"4","H","Wol","yes",3,1,1,"2.45","-0.97","-0.22"
"5","A","Bou","yes",1,0,0,"0.92","0.26","0.04"
"6","H","Ars","yes",0,-1,1,"0.81","0.35","0.39"
"7","H","Not","yes",3,2,2,"1.52","-0.22","0.17"
"8","A","BHA","yes",0,-1,1,"0.72","0.42","0.59"
"9","H","Ful","yes",3,1,2,"1.77","-0.42","0.17"
"10","A","WHU","yes",0,-2,1,"1.31","-0.06","0.11"
"11","A","Bre","yes",0,-2,1,"0.83","0.33","0.44"
"12","H","MnC","yes",3,1,2,"0.89","0.29","0.73"
"13","A","Eve","yes",3,3,4,"1.14","0.08","0.81"
"14","H","Tot","yes",1,0,2,"1.40","-0.13","0.68"
"15","H","Bur","yes",3,1,2,"2.26","-0.81","-0.14"
"16","A","Sun","yes",0,-1,0,"0.81","0.35","0.21"
"17","H","Che","yes",1,0,2,"1.29","-0.04","0.17"
"18","A","MnU","yes",0,-1,0,"0.54","0.57","0.74"
"19","A","Bur","yes",3,2,3,"1.76","-0.42","0.32"
"20","H","Pal","yes",3,2,2,"1.35","-0.09","0.23"
"21","H","Lee","yes",3,1,4,"1.83","-0.47","-0.24"
"22","A","Wol","yes",1,0,0,"1.76","-0.41","-0.65"
"23","H","Ast","yes",0,-2,0,"1.36","-0.09","-0.74"
"24","A","Liv","yes",0,-3,1,"0.58","0.53","-0.21"
"25","H","Bre","yes",0,-1,2,"1.57","-0.26","-0.47"
"26","A","Tot","yes",3,1,2,"1.79","-0.44","-0.91"
"27","A","MnC","yes",0,-1,1,"0.32","0.75","-0.17"
"28","H","Eve","yes",0,-1,2,"1.19","0.04","-0.12"
"29","H","MnU","yes",3,1,2,"1.26","-0.01","-0.14"
"30","A","Che","yes",3,1,1,"1.08","0.13","-0.00"
"31","H","Sun","yes",0,-1,1,"1.66","-0.33","-0.34"
"32","A","Pal","yes",0,-1,1,"1.28","-0.03","-0.37"
"33","H","Bou","yes",0,-1,1,"1.42","-0.14","-0.51"
"34","A","Ars","yes",0,-1,0,"0.31","0.75","0.25"
"35","H","BHA","no",NA,NA,NA,"1.54","-0.24","0.01"
"36","A","Not","no",NA,NA,NA,"1.34","-0.08","-0.07"
"37","H","WHU","no",NA,NA,NA,"1.74","-0.40","-0.47"
"38","A","Ful","no",NA,NA,NA,"0.66","0.47","0.00"
