"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Bur","yes",3,3,3,"1.41","-0.33","-0.33"
"2","A","MnC","yes",3,2,2,"0.55","0.48","0.14"
"3","H","Bou","yes",0,-1,0,"0.51","0.52","0.66"
"4","A","WHU","yes",3,3,3,"1.86","-0.76","-0.10"
"5","A","BHA","yes",1,0,2,"1.18","-0.12","-0.22"
"6","H","Wol","yes",1,0,1,"1.70","-0.61","-0.83"
"7","A","Lee","yes",3,1,2,"1.38","-0.31","-1.14"
"8","H","Ast","yes",0,-1,1,"0.54","0.49","-0.65"
"9","A","Eve","yes",3,3,3,"1.67","-0.59","-1.24"
"10","H","Che","yes",0,-1,0,"0.50","0.53","-0.71"
"11","H","MnU","yes",1,0,2,"0.49","0.53","-0.18"
"12","A","Ars","yes",0,-3,1,"0.55","0.48","0.31"
"13","H","Ful","yes",0,-1,1,"0.84","0.20","0.50"
"14","A","New","yes",1,0,2,"1.37","-0.30","0.21"
"15","H","Bre","yes",3,2,2,"0.71","0.32","0.53"
"16","A","Not","yes",0,-3,0,"1.88","-0.79","-0.26"
"17","H","Liv","yes",0,-1,1,"0.56","0.47","0.21"
"18","A","Pal","yes",3,1,1,"1.83","-0.73","-0.53"
"19","A","Bre","yes",1,0,0,"1.28","-0.21","-0.74"
"20","H","Sun","yes",1,0,1,"0.78","0.26","-0.48"
"21","A","Bou","yes",0,-1,2,"1.35","-0.28","-0.76"
"22","H","WHU","yes",0,-1,1,"0.85","0.19","-0.56"
"23","A","Bur","yes",1,0,2,"2.23","-1.12","-1.69"
"24","H","MnC","yes",1,0,2,"0.33","0.69","-1.00"
"25","A","MnU","yes",0,-2,0,"0.84","0.20","-0.80"
"26","H","New","yes",0,-1,1,"0.83","0.21","-0.58"
"27","H","Ars","yes",0,-3,1,"0.27","0.74","0.16"
"28","A","Ful","yes",0,-1,1,"1.21","-0.15","0.01"
"29","H","Pal","yes",0,-2,1,"0.58","0.45","0.46"
"30","A","Liv","yes",1,0,1,"1.05","0.01","0.46"
"31","H","Not","yes",0,-3,0,"0.58","0.45","0.91"
"32","A","Sun","yes",0,-1,0,"1.34","-0.27","0.64"
"33","H","BHA","yes",1,0,2,"0.70","0.33","0.97"
"34","A","Wol","yes",3,1,1,"2.22","-1.10","-0.13"
"35","A","Ast","yes",3,1,2,"1.06","-0.00","-0.13"
"36","H","Lee","no",NA,NA,NA,"0.88","0.16","0.03"
"37","A","Che","no",NA,NA,NA,"1.69","-0.61","-0.58"
"38","H","Eve","no",NA,NA,NA,"0.44","0.58","-0.00"
