"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","MnC","yes",0,-4,0,"0.36","0.33","0.33"
"2","A","Bou","yes",0,-1,0,"0.31","0.43","0.76"
"3","H","Eve","yes",0,-1,2,"0.44","0.19","0.95"
"4","A","New","yes",0,-1,0,"0.33","0.39","1.34"
"5","H","Lee","yes",0,-2,1,"0.98","-0.81","0.53"
"6","A","Tot","yes",1,0,1,"0.87","-0.61","-0.08"
"7","H","BHA","yes",1,0,1,"0.73","-0.36","-0.44"
"8","A","Sun","yes",0,-2,0,"0.25","0.54","0.10"
"9","H","Bur","yes",0,-1,2,"1.47","-1.73","-1.63"
"10","A","Ful","yes",0,-3,0,"0.24","0.55","-1.08"
"11","A","Che","yes",0,-3,0,"0.39","0.27","-0.81"
"12","H","Pal","yes",0,-2,0,"0.56","-0.04","-0.85"
"13","A","Ast","yes",0,-1,0,"0.18","0.67","-0.19"
"14","H","Not","yes",0,-1,0,"0.81","-0.51","-0.69"
"15","H","MnU","yes",0,-3,1,"0.55","-0.02","-0.71"
"16","A","Ars","yes",0,-1,1,"0.11","0.80","0.09"
"17","H","Bre","yes",0,-2,0,"0.75","-0.39","-0.30"
"18","A","Liv","yes",0,-1,1,"0.21","0.60","0.31"
"19","A","MnU","yes",1,0,1,"0.18","0.67","0.98"
"20","H","WHU","yes",3,3,3,"0.90","-0.67","0.31"
"21","A","Eve","yes",1,0,1,"0.43","0.20","0.51"
"22","H","New","yes",1,0,0,"0.90","-0.67","-0.16"
"23","A","MnC","yes",0,-2,0,"0.10","0.81","0.65"
"24","H","Bou","yes",0,-2,0,"0.64","-0.19","0.46"
"25","H","Che","yes",0,-2,1,"0.56","-0.04","0.41"
"26","A","Not","yes",1,0,0,"0.54","-0.01","0.41"
"27","H","Ars","yes",1,0,2,"0.31","0.42","0.83"
"28","A","Pal","yes",0,-1,0,"0.51","0.06","0.89"
"29","H","Ast","yes",3,2,2,"0.56","-0.05","0.84"
"30","H","Liv","yes",3,1,2,"0.60","-0.12","0.72"
"31","A","Bre","yes",1,0,2,"0.29","0.46","1.18"
"32","A","WHU","yes",0,-4,0,"0.61","-0.13","1.05"
"33","A","Lee","yes",0,-3,0,"0.32","0.41","1.47"
"34","H","Tot","no",NA,NA,NA,"0.68","-0.25","1.21"
"35","H","Sun","no",NA,NA,NA,"0.82","-0.53","0.69"
"36","A","BHA","no",NA,NA,NA,"0.24","0.55","1.23"
"37","H","Ful","no",NA,NA,NA,"0.92","-0.70","0.53"
"38","A","Bur","no",NA,NA,NA,"0.82","-0.53","-0.00"
