"","HA","vs","played","sched","cumulative"
"1","A","Str","yes","0.32","0.32"
"2","H","Mco","yes","-0.11","0.21"
"3","A","Ang","yes","0.13","0.34"
"4","H","PSG","yes","0.65","0.99"
"5","A","Bor","yes","0.29","1.28"
"6","H","Ami","yes","-0.70","0.58"
"7","A","StE","yes","0.11","0.68"
"8","H","Tou","yes","-0.97","-0.29"
"9","A","Bre","yes","0.12","-0.17"
"10","H","Nan","yes","-0.23","-0.40"
"11","A","Lyo","yes","0.27","-0.13"
"12","H","Mtp","yes","-0.15","-0.29"
"13","A","Lil","yes","0.48","0.20"
"14","H","Rei","yes","-0.27","-0.07"
"15","A","Nim","yes","-0.02","-0.09"
"16","H","Ren","yes","0.09","-0.00"
"17","A","Nic","yes","0.28","0.28"
"18","H","Mar","yes","0.30","0.57"
"19","A","Dij","yes","0.00","0.58"
"20","H","Str","yes","-0.16","0.42"
"21","A","Rei","yes","0.23","0.65"
"22","H","StE","yes","-0.40","0.25"
"23","A","Mtp","yes","0.33","0.58"
"24","H","Bor","yes","-0.20","0.38"
"25","A","Nan","yes","0.26","0.64"
"26","H","Lyo","no","-0.22","0.41"
"27","A","Ami","no","-0.22","0.19"
"28","H","Nim","no","-0.52","-0.33"
"29","A","Tou","no","-0.59","-0.92"
"30","H","Bre","no","-0.39","-1.31"
"31","A","PSG","no","0.84","-0.47"
"32","H","Lil","no","0.05","-0.42"
"33","A","Ren","no","0.51","0.09"
"34","H","Dij","no","-0.50","-0.41"
"35","A","Mco","no","0.36","-0.05"
"36","H","Nic","no","-0.21","-0.27"
"37","A","Mar","no","0.64","0.38"
"38","H","Ang","no","-0.38","-0.00"
