"","HA","vs","played","sched","cumulative"
"1","A","Mtp","yes","0.24","0.24"
"2","H","PSG","yes","0.55","0.78"
"3","A","Str","yes","0.23","1.02"
"4","H","Nic","yes","-0.18","0.84"
"5","A","Bre","yes","0.10","0.94"
"6","H","Lil","yes","-0.03","0.91"
"7","A","Nan","yes","0.18","1.10"
"8","A","Mar","yes","0.58","1.68"
"9","H","Rei","yes","-0.16","1.51"
"10","A","Mco","yes","0.26","1.78"
"11","H","Tou","yes","-0.53","1.25"
"12","H","Ami","yes","-0.41","0.84"
"13","A","Dij","yes","-0.01","0.83"
"14","H","StE","yes","-0.29","0.54"
"15","A","Mtz","yes","0.01","0.55"
"16","H","Ang","yes","-0.26","0.29"
"17","A","Lyo","yes","0.21","0.51"
"18","H","Bor","yes","-0.16","0.35"
"19","H","Mar","yes","0.24","0.59"
"20","A","Nim","yes","-0.03","0.56"
"21","A","Nic","yes","0.18","0.74"
"22","H","Nan","yes","-0.18","0.56"
"23","A","Lil","yes","0.35","0.91"
"24","H","Bre","yes","-0.24","0.67"
"25","A","Rei","yes","0.20","0.87"
"26","H","Nim","no","-0.33","0.54"
"27","A","Tou","no","-0.35","0.19"
"28","H","Mtp","no","-0.13","0.06"
"29","A","Bor","no","0.20","0.27"
"30","H","Lyo","no","-0.15","0.12"
"31","A","Ami","no","-0.15","-0.04"
"32","A","StE","no","0.04","-0.00"
"33","H","Mtz","no","-0.30","-0.31"
"34","H","Str","no","-0.13","-0.44"
"35","A","Ang","no","0.08","-0.36"
"36","H","Dij","no","-0.32","-0.68"
"37","A","PSG","no","0.79","0.10"
"38","H","Mco","no","-0.10","0.00"
