"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Bor","yes",1,"1.18","-0.34","-0.34"
"2","H","Nim","yes",3,"0.95","-0.08","-0.41"
"3","A","Mco","yes",0,"0.34","0.61","0.20"
"4","H","StE","yes",1,"0.91","-0.03","0.17"
"5","A","Lil","yes",0,"0.51","0.42","0.59"
"6","A","Nic","yes",0,"0.99","-0.13","0.46"
"7","H","Bre","yes",3,"1.50","-0.70","-0.24"
"8","H","PSG","yes",0,"0.28","0.69","0.45"
"9","A","Lor","yes",3,"0.80","0.10","0.54"
"10","H","Mtz","yes",1,"0.70","0.21","0.75"
"11","A","Len","yes",1,"0.88","-0.00","0.75"
"12","A","Mar","yes",0,"0.55","0.38","1.13"
"13","H","Str","yes",0,"0.89","-0.01","1.12"
"14","H","Dij","yes",1,"1.59","-0.81","0.31"
"15","A","Rei","yes",0,"1.11","-0.26","0.05"
"16","H","Ang","yes",1,"0.80","0.09","0.14"
"17","A","Lyo","yes",0,"0.44","0.51","0.64"
"18","H","Ren","yes",1,"0.64","0.28","0.92"
"19","A","Mtp","yes",1,"0.83","0.05","0.97"
"20","H","Len","yes",1,"0.55","0.38","1.35"
"21","A","Mtz","yes",0,"1.16","-0.32","1.03"
"22","H","Mco","yes",0,"0.45","0.49","1.53"
"23","A","StE","yes",1,"1.17","-0.33","1.20"
"24","H","Lil","yes",0,"0.24","0.72","1.92"
"25","A","Ang","yes",3,"1.18","-0.34","1.59"
"26","H","Mar","yes",1,"0.74","0.16","1.75"
"27","A","Nim","yes",1,"1.59","-0.81","0.94"
"28","H","Rei","yes",0,"0.87","0.01","0.95"
"29","A","PSG","yes",3,"0.48","0.46","1.41"
"30","H","Lor","yes",1,"1.76","-1.00","0.41"
"31","H","Nic","yes",0,"0.74","0.15","0.56"
"32","A","Ren","yes",0,"0.80","0.09","0.65"
"33","H","Lyo","yes",0,"0.40","0.55","1.20"
"34","A","Str","no",NA,"1.19","-0.36","0.84"
"35","A","Bre","no",NA,"0.67","0.24","1.08"
"36","H","Bor","no",NA,"1.00","-0.14","0.94"
"37","A","Dij","no",NA,"1.84","-1.09","-0.15"
"38","H","Mtp","no",NA,"0.75","0.15","0.00"
