"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Str","yes",3,2,"0.72","0.37","0.37"
"2","H","Lyo","yes",3,3,"1.18","-0.04","0.33"
"3","A","Bor","yes",1,0,"1.54","-0.34","-0.01"
"4","H","Ren","yes",3,2,"1.29","-0.13","-0.14"
"5","A","Bre","yes",1,0,"1.13","0.01","-0.13"
"6","H","Nan","yes",0,-3,"1.53","-0.34","-0.47"
"7","H","Mar","yes",1,0,"0.61","0.46","-0.01"
"8","A","Tro","yes",1,0,"1.34","-0.17","-0.18"
"9","H","Mtz","yes",3,1,"1.49","-0.30","-0.49"
"10","A","PSG","yes",0,-1,"0.17","0.85","0.36"
"11","A","StE","yes",1,0,"1.42","-0.24","0.12"
"12","H","Nic","yes",0,-1,"0.69","0.39","0.51"
"13","A","Lil","yes",1,0,"0.84","0.26","0.77"
"14","H","Lor","yes",3,1,"1.75","-0.53","0.24"
"15","A","Len","yes",1,0,"0.84","0.26","0.50"
"16","H","Mco","yes",0,-2,"1.33","-0.17","0.33"
"17","A","Rei","yes",3,1,"1.24","-0.09","0.25"
"18","H","Cle","yes",0,-1,"1.44","-0.26","-0.02"
"19","A","Mtp","yes",0,-3,"0.93","0.19","0.17"
"20","A","Lor","yes",1,0,"1.19","-0.04","0.13"
"21","H","Tro","yes",3,1,"1.56","-0.37","-0.24"
"22","H","StE","yes",0,-1,"1.58","-0.38","-0.63"
"23","A","Mar","yes",0,-3,"1.12","0.02","-0.61"
"24","H","Str","yes",0,-1,"1.10","0.03","-0.58"
"25","A","Nic","yes",0,-1,"0.84","0.26","-0.31"
"26","H","Len","yes",0,-1,"1.27","-0.11","-0.42"
"27","A","Ren","yes",0,-2,"0.49","0.57","0.15"
"28","H","Rei","yes",0,-1,"1.21","-0.06","0.09"
"29","H","Bre","yes",3,1,"1.29","-0.13","-0.04"
"30","A","Lyo","no",NA,NA,"0.79","0.30","0.26"
"31","H","Lil","no",NA,NA,"1.03","0.10","0.36"
"32","A","Nan","no",NA,NA,"0.65","0.43","0.79"
"33","H","PSG","no",NA,NA,"0.95","0.17","0.96"
"34","A","Cle","no",NA,NA,"1.38","-0.21","0.75"
"35","A","Mco","no",NA,NA,"0.74","0.35","1.10"
"36","H","Bor","no",NA,NA,"1.65","-0.44","0.65"
"37","A","Mtz","no",NA,NA,"1.70","-0.49","0.17"
"38","H","Mtp","no",NA,NA,"1.33","-0.17","-0.00"
