"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Mtz","yes",1,0,"1.60","-0.22","-0.22"
"2","H","Nic","yes",0,-4,"1.18","0.10","-0.12"
"3","A","StE","yes",1,0,"1.21","0.08","-0.04"
"4","H","Mtp","yes",3,1,"1.88","-0.43","-0.47"
"5","A","Lor","yes",0,-1,"0.70","0.46","-0.01"
"6","A","Len","yes",0,-1,"0.73","0.44","0.44"
"7","H","Rei","yes",3,1,"1.99","-0.52","-0.08"
"8","A","Str","yes",3,1,"0.80","0.39","0.31"
"9","H","Mar","yes",3,2,"1.23","0.06","0.37"
"10","A","Cle","yes",0,-1,"0.98","0.25","0.62"
"11","H","Bre","yes",1,0,"1.85","-0.41","0.21"
"12","A","PSG","yes",0,-1,"0.21","0.84","1.04"
"13","H","Ang","yes",1,0,"1.78","-0.36","0.68"
"14","A","Mco","no",NA,NA,"0.77","0.41","1.10"
"15","H","Nan","no",NA,NA,"1.92","-0.46","0.63"
"16","A","Ren","no",NA,NA,"0.44","0.67","1.30"
"17","H","Tro","no",NA,NA,"1.90","-0.45","0.86"
"18","H","Lyo","no",NA,NA,"1.92","-0.46","0.39"
"19","A","Bor","no",NA,NA,"1.24","0.06","0.45"
"20","H","Lor","no",NA,NA,"2.10","-0.60","-0.16"
"21","A","Mar","no",NA,NA,"0.77","0.41","0.26"
"22","A","Bre","no",NA,NA,"1.17","0.11","0.37"
"23","H","PSG","no",NA,NA,"1.08","0.18","0.55"
"24","A","Mtp","no",NA,NA,"0.60","0.54","1.09"
"25","H","Mtz","no",NA,NA,"2.02","-0.54","0.55"
"26","A","Lyo","no",NA,NA,"0.55","0.58","1.13"
"27","H","Cle","no",NA,NA,"1.93","-0.47","0.66"
"28","H","StE","no",NA,NA,"2.26","-0.72","-0.07"
"29","A","Nan","no",NA,NA,"0.69","0.48","0.41"
"30","H","Bor","no",NA,NA,"1.80","-0.37","0.04"
"31","A","Ang","no",NA,NA,"0.76","0.42","0.46"
"32","H","Len","no",NA,NA,"1.30","0.01","0.47"
"33","A","Rei","no",NA,NA,"1.17","0.11","0.58"
"34","H","Str","no",NA,NA,"1.69","-0.29","0.29"
"35","A","Tro","no",NA,NA,"1.07","0.18","0.47"
"36","H","Mco","no",NA,NA,"1.80","-0.37","0.10"
"37","A","Nic","no",NA,NA,"0.76","0.42","0.52"
"38","H","Ren","no",NA,NA,"1.99","-0.52","-0.00"
