"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Bre","yes",1,0,"1.63","-0.09","-0.09"
"2","A","Ang","yes",0,-3,"1.47","0.02","-0.07"
"3","H","Cle","yes",1,0,"1.89","-0.26","-0.32"
"4","A","Nan","yes",3,1,"0.87","0.42","0.09"
"5","H","Str","yes",3,2,"1.57","-0.04","0.05"
"6","A","PSG","yes",0,-1,"0.24","0.84","0.89"
"7","H","Tro","yes",3,2,"2.00","-0.33","0.56"
"8","H","Lor","yes",1,0,"2.15","-0.43","0.13"
"9","A","StE","yes",1,0,"1.73","-0.15","-0.03"
"10","H","Mco","yes",3,2,"1.72","-0.14","-0.17"
"11","A","Nic","yes",0,-1,"1.12","0.25","0.08"
"12","H","Len","yes",3,1,"1.78","-0.18","-0.10"
"13","A","Ren","yes",0,-3,"0.67","0.55","0.45"
"14","A","Mtp","yes",3,1,"1.28","0.15","0.60"
"15","H","Rei","yes",0,-1,"1.75","-0.17","0.43"
"16","A","Bor","yes",1,0,"1.87","-0.24","0.19"
"17","A","Lil","yes",1,0,"1.15","0.23","0.42"
"18","H","Mtz","yes",1,0,"1.92","-0.28","0.14"
"19","H","PSG","yes",1,0,"1.38","0.08","0.22"
"20","A","Tro","yes",3,1,"1.51","-0.01","0.21"
"21","H","StE","yes",3,1,"2.00","-0.33","-0.12"
"22","H","Mar","yes",3,1,"0.93","0.38","0.26"
"23","A","Mco","yes",0,-2,"0.98","0.34","0.60"
"24","H","Nic","yes",3,2,"1.19","0.21","0.81"
"25","A","Len","yes",1,0,"1.10","0.27","1.08"
"26","H","Lil","yes",0,-1,"1.48","0.02","1.09"
"27","A","Lor","yes",3,3,"1.47","0.02","1.11"
"28","H","Ren","yes",0,-2,"1.75","-0.16","0.95"
"29","A","Rei","yes",1,0,"1.52","-0.01","0.94"
"30","H","Ang","no",NA,NA,"1.93","-0.28","0.65"
"31","A","Str","no",NA,NA,"0.89","0.41","1.06"
"32","H","Bor","no",NA,NA,"2.05","-0.36","0.70"
"33","A","Bre","no",NA,NA,"1.43","0.05","0.75"
"34","H","Mtp","no",NA,NA,"1.70","-0.14","0.61"
"35","A","Mar","no",NA,NA,"1.29","0.14","0.76"
"36","A","Mtz","no",NA,NA,"2.02","-0.34","0.41"
"37","H","Nan","no",NA,NA,"1.88","-0.25","0.16"
"38","A","Cle","no",NA,NA,"1.74","-0.16","-0.00"
