"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Mtp","yes",3,1,"1.40","0.15","0.15"
"2","H","Bor","yes",1,0,"1.62","0.02","0.17"
"3","H","StE","yes",3,2,"2.12","-0.28","-0.11"
"4","A","Mco","yes",3,2,"1.64","0.01","-0.10"
"5","H","Ren","yes",3,2,"1.82","-0.10","-0.20"
"6","A","Ang","yes",1,0,"1.62","0.02","-0.18"
"7","H","Len","yes",0,-1,"1.12","0.32","0.14"
"8","A","Lil","yes",0,-2,"1.47","0.11","0.26"
"9","H","Lor","yes",3,3,"1.95","-0.18","0.08"
"10","H","PSG","yes",1,0,"0.91","0.45","0.53"
"11","A","Nic","yes",1,0,"1.62","0.02","0.55"
"12","A","Cle","yes",3,1,"1.88","-0.14","0.41"
"13","H","Mtz","yes",1,0,"1.85","-0.12","0.29"
"14","A","Lyo","no",NA,NA,"1.32","0.20","0.49"
"15","H","Tro","no",NA,NA,"1.72","-0.04","0.45"
"16","A","Nan","no",NA,NA,"1.53","0.08","0.53"
"17","H","Bre","no",NA,NA,"1.67","-0.01","0.51"
"18","A","Str","no",NA,NA,"1.68","-0.02","0.50"
"19","H","Rei","no",NA,NA,"1.82","-0.10","0.40"
"20","A","Bor","no",NA,NA,"2.11","-0.28","0.12"
"21","H","Lil","no",NA,NA,"1.89","-0.14","-0.02"
"22","A","Len","no",NA,NA,"1.59","0.04","0.02"
"23","H","Ang","no",NA,NA,"1.60","0.03","0.05"
"24","A","Mtz","no",NA,NA,"2.37","-0.43","-0.38"
"25","H","Cle","no",NA,NA,"1.76","-0.06","-0.44"
"26","A","Tro","no",NA,NA,"1.97","-0.19","-0.63"
"27","H","Mco","no",NA,NA,"1.62","0.02","-0.61"
"28","A","Bre","no",NA,NA,"2.05","-0.24","-0.85"
"29","H","Nic","no",NA,NA,"1.01","0.39","-0.46"
"30","A","StE","no",NA,NA,"2.09","-0.26","-0.72"
"31","H","Mtp","no",NA,NA,"1.70","-0.03","-0.75"
"32","A","PSG","no",NA,NA,"0.61","0.63","-0.12"
"33","H","Nan","no",NA,NA,"1.75","-0.06","-0.18"
"34","A","Rei","no",NA,NA,"2.06","-0.24","-0.42"
"35","H","Lyo","no",NA,NA,"1.75","-0.06","-0.48"
"36","A","Lor","no",NA,NA,"1.55","0.06","-0.41"
"37","A","Ren","no",NA,NA,"1.12","0.33","-0.09"
"38","H","Str","no",NA,NA,"1.51","0.09","0.00"
