"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Lil","yes",1,0,"0.63","0.28","0.28"
"2","A","Nan","yes",0,-2,"0.63","0.28","0.56"
"3","H","Rei","yes",1,0,"0.75","0.15","0.71"
"4","A","Cle","yes",1,0,"1.33","-0.51","0.19"
"5","H","Tro","yes",0,-2,"1.04","-0.18","0.01"
"6","A","Str","yes",0,-3,"0.81","0.08","0.09"
"7","H","PSG","yes",0,-1,"0.46","0.48","0.57"
"8","A","Bre","yes",3,1,"1.15","-0.31","0.26"
"9","A","Ang","yes",0,-1,"1.24","-0.41","-0.15"
"10","H","Ren","yes",0,-3,"0.85","0.04","-0.11"
"11","A","Len","yes",0,-3,"0.95","-0.08","-0.19"
"12","H","StE","yes",1,0,"1.00","-0.14","-0.33"
"13","A","Mar","yes",1,0,"1.08","-0.23","-0.56"
"14","H","Bor","yes",1,0,"1.04","-0.18","-0.74"
"15","A","Nic","yes",3,1,"0.85","0.04","-0.71"
"16","H","Mtp","yes",0,-2,"0.75","0.15","-0.55"
"17","A","Mco","yes",0,-4,"0.85","0.03","-0.52"
"18","H","Lor","yes",3,3,"1.29","-0.46","-0.98"
"19","A","Lyo","yes",1,0,"0.74","0.16","-0.82"
"20","H","Str","yes",0,-2,"0.55","0.37","-0.45"
"21","A","Rei","yes",3,1,"1.26","-0.44","-0.88"
"22","H","Nic","yes",0,-2,"0.33","0.63","-0.26"
"23","A","Tro","yes",1,0,"1.49","-0.69","-0.95"
"24","H","Mar","yes",0,-1,"0.34","0.62","-0.33"
"25","A","Lil","yes",1,0,"0.88","-0.01","-0.34"
"26","H","Nan","yes",1,0,"0.86","0.02","-0.32"
"27","A","StE","yes",0,-1,"1.43","-0.62","-0.94"
"28","H","Len","no",NA,NA,"0.67","0.24","-0.70"
"29","A","Ren","no",NA,NA,"0.55","0.37","-0.33"
"30","H","Mco","no",NA,NA,"0.81","0.08","-0.25"
"31","A","Bor","no",NA,NA,"1.48","-0.68","-0.93"
"32","H","Cle","no",NA,NA,"0.76","0.14","-0.79"
"33","A","Lor","no",NA,NA,"1.20","-0.37","-1.16"
"34","H","Bre","no",NA,NA,"0.67","0.24","-0.92"
"35","A","Mtp","no",NA,NA,"0.98","-0.11","-1.03"
"36","H","Lyo","no",NA,NA,"0.67","0.24","-0.79"
"37","H","Ang","no",NA,NA,"0.88","0.00","-0.79"
"38","A","PSG","no",NA,NA,"0.19","0.79","0.00"
