"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Mco","yes",1,0,"0.67","0.54","0.54"
"2","H","Mtz","yes",3,2,"2.17","-0.49","0.05"
"3","A","Ren","yes",0,-1,"0.54","0.63","0.68"
"4","H","Lyo","yes",0,-1,"1.89","-0.30","0.37"
"5","H","Nic","yes",0,-2,"1.52","-0.04","0.33"
"6","A","Ang","yes",3,3,"1.25","0.14","0.47"
"7","H","Bre","yes",3,2,"1.83","-0.26","0.22"
"8","A","Rei","yes",0,-2,"1.26","0.13","0.35"
"9","H","Tro","yes",3,2,"2.19","-0.51","-0.16"
"10","A","Bor","yes",1,0,"1.51","-0.04","-0.20"
"11","H","Cle","yes",3,1,"1.98","-0.36","-0.56"
"12","A","Mtp","yes",0,-2,"1.05","0.28","-0.28"
"13","H","Str","yes",1,0,"1.82","-0.25","-0.53"
"14","A","PSG","yes",0,-2,"0.20","0.86","0.34"
"15","A","Lil","yes",1,0,"0.93","0.36","0.70"
"16","H","Mar","yes",0,-1,"1.07","0.27","0.96"
"17","A","Lor","yes",3,1,"1.07","0.27","1.23"
"18","H","Len","yes",3,1,"1.79","-0.23","1.00"
"19","A","StE","yes",3,1,"1.42","0.02","1.03"
"20","H","Mco","yes",1,0,"1.69","-0.16","0.87"
"21","A","Nic","yes",0,-1,"0.79","0.46","1.32"
"22","H","Lor","yes",3,2,"2.31","-0.59","0.73"
"23","A","Str","yes",0,-1,"0.70","0.52","1.25"
"24","H","Rei","yes",3,1,"1.91","-0.31","0.94"
"25","H","PSG","yes",3,2,"1.43","0.02","0.96"
"26","A","Mtz","yes",1,0,"1.81","-0.24","0.71"
"27","H","Mtp","yes",3,2,"2.00","-0.38","0.34"
"28","A","Tro","yes",0,-1,"1.24","0.15","0.49"
"29","H","Lil","yes",0,-1,"1.83","-0.26","0.23"
"30","A","Cle","yes",3,1,"1.54","-0.06","0.18"
"31","A","Bre","yes",1,0,"1.11","0.24","0.41"
"32","H","Ang","yes",1,0,"2.10","-0.44","-0.03"
"33","A","Mar","yes",0,-1,"0.91","0.38","0.35"
"34","H","Bor","yes",3,2,"2.23","-0.53","-0.18"
"35","A","Len","yes",1,0,"0.79","0.46","0.27"
"36","H","Ren","no",NA,NA,"1.85","-0.27","0.00"
"37","A","Lyo","no",NA,NA,"0.69","0.52","0.53"
"38","H","StE","no",NA,NA,"2.22","-0.53","-0.00"
