"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Lor","yes",1,0,"1.57","-0.80","-0.80"
"2","A","Len","yes",1,0,"0.66","0.25","-0.55"
"3","H","Lil","yes",1,0,"1.10","-0.26","-0.81"
"4","A","Mar","yes",0,-2,"0.69","0.20","-0.61"
"5","A","Mtp","yes",0,-2,"0.67","0.23","-0.38"
"6","H","Bor","yes",0,-1,"1.26","-0.44","-0.82"
"7","A","Mco","yes",0,-2,"0.78","0.11","-0.72"
"8","H","Nic","yes",0,-3,"0.49","0.44","-0.28"
"9","H","Lyo","yes",1,0,"0.98","-0.13","-0.41"
"10","A","Str","yes",0,-4,"0.64","0.27","-0.14"
"11","H","Ang","yes",1,0,"1.00","-0.15","-0.29"
"12","A","Mtz","yes",1,0,"1.48","-0.70","-0.99"
"13","H","Cle","yes",3,1,"1.35","-0.55","-1.54"
"14","A","Tro","yes",3,1,"0.95","-0.09","-1.63"
"15","H","PSG","yes",0,-2,"0.43","0.50","-1.13"
"16","A","Bre","yes",0,-1,"0.72","0.17","-0.95"
"17","H","Ren","no",NA,NA,"1.02","-0.17","-1.12"
"18","A","Rei","no",NA,NA,"0.92","-0.06","-1.18"
"19","H","Nan","no",NA,NA,"1.20","-0.38","-1.56"
"20","A","Ang","no",NA,NA,"0.65","0.25","-1.31"
"21","H","Len","no",NA,NA,"0.85","0.02","-1.29"
"22","A","Lyo","no",NA,NA,"0.61","0.30","-0.99"
"23","H","Mtp","no",NA,NA,"1.08","-0.24","-1.24"
"24","A","Cle","no",NA,NA,"0.87","-0.00","-1.24"
"25","H","Str","no",NA,NA,"1.03","-0.18","-1.42"
"26","A","PSG","no",NA,NA,"0.21","0.76","-0.66"
"27","H","Mtz","no",NA,NA,"1.05","-0.21","-0.87"
"28","A","Lil","no",NA,NA,"0.58","0.33","-0.53"
"29","H","Tro","no",NA,NA,"1.23","-0.41","-0.94"
"30","H","Mar","no",NA,NA,"0.53","0.40","-0.54"
"31","A","Lor","no",NA,NA,"0.71","0.19","-0.35"
"32","H","Bre","no",NA,NA,"0.87","0.00","-0.35"
"33","A","Bor","no",NA,NA,"1.20","-0.37","-0.73"
"34","H","Mco","no",NA,NA,"0.88","-0.00","-0.73"
"35","A","Ren","no",NA,NA,"0.45","0.49","-0.24"
"36","A","Nic","no",NA,NA,"0.73","0.17","-0.08"
"37","H","Rei","no",NA,NA,"1.04","-0.19","-0.26"
"38","A","Nan","no",NA,NA,"0.64","0.26","-0.00"
