"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Len","yes",0,-1,2,"0.20","0.79","0.79"
"2","H","Mar","yes",1,0,1,"0.39","0.59","1.38"
"3","A","Ang","yes",3,2,3,"2.02","-1.10","0.28"
"4","H","Mtp","yes",0,-7,0,"1.24","-0.29","-0.01"
"5","A","Ren","yes",0,-2,1,"0.32","0.67","0.66"
"6","H","Str","yes",1,0,1,"1.38","-0.44","0.23"
"7","A","PSG","yes",0,-1,0,"0.22","0.77","1.00"
"8","H","Aja","yes",0,-1,0,"1.37","-0.42","0.58"
"9","A","Aux","yes",1,0,1,"1.48","-0.54","0.04"
"10","H","Lor","yes",0,-1,1,"0.71","0.26","0.30"
"11","A","Nan","yes",0,-3,1,"0.95","0.01","0.32"
"12","A","Cle","yes",3,2,3,"1.02","-0.06","0.25"
"13","H","Rei","yes",1,0,0,"1.12","-0.16","0.09"
"14","A","Nic","yes",0,-1,0,"0.83","0.14","0.24"
"15","H","Tro","yes",3,1,2,"1.26","-0.31","-0.07"
"16","H","Lyo","yes",0,-2,2,"0.86","0.11","0.04"
"17","A","Mco","yes",0,-1,0,"0.73","0.25","0.28"
"18","H","Lil","yes",1,0,0,"0.74","0.24","0.52"
"19","A","Tou","yes",1,0,1,"0.77","0.21","0.72"
"20","H","Ang","yes",3,4,4,"1.82","-0.89","-0.16"
"21","A","Lyo","yes",1,0,0,"0.87","0.10","-0.07"
"22","H","Len","yes",1,0,1,"0.83","0.14","0.07"
"23","A","Mtp","no",NA,NA,NA,"1.38","-0.43","-0.36"
"24","H","Mco","no",NA,NA,NA,"0.35","0.64","0.28"
"25","A","Lil","no",NA,NA,NA,"0.59","0.39","0.68"
"26","A","Str","no",NA,NA,NA,"1.48","-0.54","0.14"
"27","H","PSG","no",NA,NA,NA,"0.25","0.74","0.88"
"28","A","Tro","no",NA,NA,NA,"1.49","-0.55","0.33"
"29","H","Tou","no",NA,NA,NA,"1.06","-0.10","0.23"
"30","A","Rei","no",NA,NA,NA,"0.73","0.25","0.48"
"31","H","Nic","no",NA,NA,NA,"0.54","0.44","0.92"
"32","A","Aja","no",NA,NA,NA,"1.62","-0.68","0.24"
"33","H","Nan","no",NA,NA,NA,"1.30","-0.35","-0.11"
"34","A","Lor","no",NA,NA,NA,"0.72","0.26","0.15"
"35","H","Aux","no",NA,NA,NA,"1.66","-0.72","-0.57"
"36","H","Cle","no",NA,NA,NA,"0.78","0.19","-0.38"
"37","A","Mar","no",NA,NA,NA,"0.54","0.44","0.07"
"38","H","Ren","no",NA,NA,NA,"1.03","-0.07","-0.00"
