"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","PSG","yes",0,-5,0,"0.35","0.72","0.72"
"2","A","Rei","yes",3,2,4,"0.98","0.24","0.96"
"3","H","Nic","yes",3,1,1,"0.69","0.47","1.43"
"4","A","Lor","yes",0,-1,1,"1.19","0.08","1.50"
"5","A","Mar","yes",0,-1,0,"1.01","0.21","1.72"
"6","H","Tou","yes",3,2,2,"1.30","-0.01","1.70"
"7","A","Str","yes",1,0,0,"1.87","-0.46","1.25"
"8","H","Tro","yes",0,-2,1,"1.71","-0.33","0.91"
"9","A","Aja","yes",3,2,3,"2.06","-0.60","0.31"
"10","H","Aux","yes",3,1,2,"1.75","-0.36","-0.05"
"11","A","Mco","yes",1,0,1,"1.21","0.06","0.01"
"12","H","Bre","yes",0,-2,1,"1.54","-0.20","-0.19"
"13","A","Nan","yes",1,0,1,"1.41","-0.09","-0.28"
"14","H","Mtp","yes",1,0,1,"1.26","0.02","-0.26"
"15","A","Len","yes",0,-1,1,"0.43","0.67","0.40"
"16","H","Lil","yes",0,-2,0,"0.84","0.35","0.75"
"17","A","Lyo","yes",3,1,1,"1.34","-0.04","0.71"
"18","H","Ren","yes",3,1,2,"1.26","0.02","0.73"
"19","A","Ang","yes",3,1,2,"2.44","-0.90","-0.18"
"20","H","Nan","yes",1,0,0,"1.55","-0.21","-0.38"
"21","A","Lil","yes",1,0,0,"0.93","0.28","-0.10"
"22","H","Mco","yes",0,-2,0,"0.48","0.63","0.52"
"23","H","Mar","yes",0,-2,0,"0.35","0.73","1.25"
"24","A","Ren","yes",0,-2,0,"0.60","0.54","1.79"
"25","H","Str","yes",1,0,1,"1.60","-0.24","1.55"
"26","A","Tou","yes",3,1,1,"1.36","-0.05","1.49"
"27","H","Len","yes",0,-4,0,"1.07","0.16","1.66"
"28","A","Mtp","yes",0,-1,1,"1.55","-0.20","1.45"
"29","H","Aja","no",NA,NA,NA,"1.69","-0.31","1.14"
"30","A","Tro","no",NA,NA,NA,"2.02","-0.57","0.57"
"31","H","Ang","no",NA,NA,NA,"2.17","-0.69","-0.12"
"32","A","Nic","no",NA,NA,NA,"1.41","-0.10","-0.22"
"33","H","Rei","no",NA,NA,NA,"1.19","0.07","-0.15"
"34","A","Aux","no",NA,NA,NA,"1.80","-0.40","-0.54"
"35","H","Lyo","no",NA,NA,NA,"1.13","0.12","-0.42"
"36","A","Bre","no",NA,NA,NA,"1.93","-0.50","-0.92"
"37","H","Lor","no",NA,NA,NA,"1.06","0.17","-0.75"
"38","A","PSG","no",NA,NA,NA,"0.33","0.75","0.00"
