"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Tro","yes",3,1,3,"1.36","-0.31","-0.31"
"2","A","PSG","yes",0,-3,2,"0.17","0.84","0.53"
"3","H","Aux","yes",0,-1,1,"1.70","-0.65","-0.12"
"4","A","Bre","yes",3,7,7,"1.52","-0.47","-0.59"
"5","H","Aja","yes",3,2,2,"1.45","-0.40","-0.99"
"6","H","Lil","yes",0,-2,1,"0.90","0.13","-0.86"
"7","A","Ang","yes",0,-1,1,"1.93","-0.86","-1.72"
"8","H","Str","yes",3,1,2,"1.51","-0.46","-2.17"
"9","A","Tou","yes",0,-2,2,"0.78","0.25","-1.92"
"10","H","Mco","yes",0,-2,0,"0.43","0.58","-1.34"
"11","A","Len","yes",0,-1,0,"0.10","0.91","-0.43"
"12","H","Lyo","yes",0,-1,1,"1.18","-0.14","-0.57"
"13","A","Ren","yes",0,-3,0,"0.34","0.67","0.10"
"14","A","Cle","yes",1,0,1,"0.95","0.09","0.19"
"15","H","Rei","yes",1,0,1,"1.26","-0.22","-0.03"
"16","A","Lor","yes",3,2,2,"0.74","0.28","0.25"
"17","H","Mar","yes",0,-1,1,"0.53","0.49","0.74"
"18","A","Nic","yes",0,-5,1,"1.09","-0.06","0.69"
"19","H","Nan","no",NA,NA,NA,"1.83","-0.77","-0.08"
"20","A","Aux","no",NA,NA,NA,"1.37","-0.33","-0.41"
"21","H","PSG","no",NA,NA,NA,"0.21","0.80","0.39"
"22","A","Str","no",NA,NA,NA,"1.59","-0.53","-0.14"
"23","H","Bre","no",NA,NA,NA,"1.45","-0.40","-0.54"
"24","A","Tro","no",NA,NA,NA,"1.46","-0.41","-0.95"
"25","H","Len","no",NA,NA,NA,"0.81","0.21","-0.73"
"26","H","Ang","no",NA,NA,NA,"1.91","-0.84","-1.58"
"27","A","Aja","no",NA,NA,NA,"1.43","-0.38","-1.96"
"28","H","Cle","no",NA,NA,NA,"0.93","0.10","-1.86"
"29","A","Mar","no",NA,NA,NA,"0.47","0.54","-1.31"
"30","H","Tou","no",NA,NA,NA,"1.25","-0.21","-1.52"
"31","A","Lil","no",NA,NA,NA,"0.54","0.48","-1.04"
"32","H","Ren","no",NA,NA,NA,"1.08","-0.04","-1.08"
"33","A","Mco","no",NA,NA,NA,"0.87","0.16","-0.93"
"34","A","Lyo","no",NA,NA,NA,"0.84","0.19","-0.74"
"35","H","Lor","no",NA,NA,NA,"0.70","0.32","-0.42"
"36","A","Nan","no",NA,NA,NA,"0.93","0.10","-0.32"
"37","H","Nic","no",NA,NA,NA,"0.88","0.15","-0.18"
"38","A","Rei","no",NA,NA,NA,"0.85","0.18","0.00"
