"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Tou","yes",1,0,1,"1.67","-0.15","-0.15"
"2","H","Str","yes",1,0,1,"1.58","-0.09","-0.24"
"3","A","Cle","yes",0,-1,0,"1.65","-0.13","-0.38"
"4","H","Mar","yes",0,-3,0,"0.42","0.71","0.33"
"5","A","Lil","yes",3,1,2,"0.86","0.41","0.74"
"6","H","Mco","yes",0,-1,0,"0.64","0.56","1.30"
"7","A","Aja","yes",3,1,1,"2.32","-0.60","0.70"
"8","H","Ang","yes",0,-1,0,"2.43","-0.67","0.02"
"9","A","PSG","yes",0,-1,1,"0.70","0.52","0.54"
"10","H","Tro","yes",3,1,3,"2.06","-0.42","0.12"
"11","A","Aux","yes",1,0,1,"1.82","-0.26","-0.14"
"12","H","Nan","yes",1,0,1,"1.97","-0.35","-0.49"
"13","A","Lor","yes",3,1,2,"1.38","0.05","-0.44"
"14","H","Bre","yes",3,1,1,"1.82","-0.26","-0.70"
"15","A","Lyo","yes",1,0,1,"1.35","0.07","-0.63"
"16","H","Len","yes",1,0,0,"1.04","0.28","-0.35"
"17","A","Ren","yes",0,-1,1,"0.71","0.51","0.16"
"18","H","Mtp","yes",3,5,6,"1.43","0.01","0.17"
"19","A","Rei","yes",1,0,0,"1.26","0.13","0.31"
"20","H","Lil","yes",3,1,1,"1.26","0.13","0.44"
"21","A","Len","yes",3,1,1,"0.27","0.81","1.25"
"22","A","Mar","yes",3,2,3,"1.10","0.24","1.50"
"23","H","Aja","yes",3,3,3,"2.11","-0.45","1.05"
"24","H","Rei","yes",1,0,0,"1.44","0.01","1.05"
"25","A","Mco","yes",3,3,3,"1.30","0.10","1.16"
"26","H","Aux","yes",1,0,1,"1.93","-0.33","0.83"
"27","A","Nan","yes",1,0,2,"1.80","-0.24","0.58"
"28","H","Lor","yes",1,0,1,"1.22","0.16","0.74"
"29","A","Ang","yes",1,0,1,"2.46","-0.70","0.04"
"30","H","PSG","yes",0,-2,0,"0.36","0.75","0.79"
"31","A","Bre","yes",0,-1,0,"1.77","-0.22","0.57"
"32","H","Cle","yes",0,-1,1,"1.11","0.24","0.81"
"33","A","Tro","yes",3,1,1,"2.29","-0.58","0.23"
"34","H","Ren","yes",3,1,2,"1.54","-0.06","0.17"
"35","A","Str","yes",0,-2,0,"1.91","-0.32","-0.14"
"36","H","Tou","no",NA,NA,NA,"1.44","0.01","-0.14"
"37","A","Mtp","no",NA,NA,NA,"1.71","-0.18","-0.31"
"38","H","Lyo","no",NA,NA,NA,"1.00","0.31","0.00"
