"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Mco","yes",0,-1,1,"0.29","0.64","0.64"
"2","A","Nic","yes",1,0,1,"0.81","-0.03","0.61"
"3","H","Rei","yes",1,0,1,"0.83","-0.05","0.56"
"4","A","Aux","yes",0,-1,0,"1.32","-0.67","-0.11"
"5","H","Nan","yes",1,0,1,"1.14","-0.45","-0.56"
"6","A","Bre","yes",1,0,1,"1.23","-0.57","-1.12"
"7","H","Cle","yes",1,0,0,"0.56","0.28","-0.84"
"8","A","Mtp","yes",0,-1,1,"1.20","-0.53","-1.36"
"9","H","Ren","yes",0,-2,1,"0.77","0.02","-1.34"
"10","A","Ang","yes",3,1,3,"1.80","-1.29","-2.63"
"11","H","Lil","yes",0,-3,0,"0.66","0.16","-2.46"
"12","A","Tou","yes",1,0,2,"0.72","0.09","-2.37"
"13","H","Mar","yes",1,0,2,"0.33","0.58","-1.79"
"14","A","Aja","yes",0,-2,2,"1.38","-0.75","-2.54"
"15","H","Lor","yes",1,0,1,"0.43","0.46","-2.09"
"16","A","PSG","yes",0,-1,1,"0.21","0.73","-1.35"
"17","H","Tro","yes",0,-1,2,"0.93","-0.18","-1.54"
"18","H","Len","yes",1,0,2,"0.57","0.28","-1.26"
"19","A","Lyo","yes",3,1,2,"0.72","0.08","-1.18"
"20","H","Tou","yes",0,-1,1,"0.77","0.02","-1.16"
"21","A","Ren","no",NA,NA,NA,"0.20","0.75","-0.41"
"22","H","Mtp","no",NA,NA,NA,"0.84","-0.07","-0.48"
"23","A","Lil","no",NA,NA,NA,"0.48","0.39","-0.08"
"24","H","Ang","no",NA,NA,NA,"1.59","-1.02","-1.10"
"25","A","Cle","no",NA,NA,NA,"0.86","-0.10","-1.20"
"26","H","Bre","no",NA,NA,NA,"0.98","-0.24","-1.44"
"27","A","Mar","no",NA,NA,NA,"0.40","0.49","-0.95"
"28","H","Aux","no",NA,NA,NA,"1.30","-0.64","-1.59"
"29","A","Mco","no",NA,NA,NA,"0.67","0.15","-1.44"
"30","A","Len","no",NA,NA,NA,"0.09","0.89","-0.55"
"31","H","Aja","no",NA,NA,NA,"1.10","-0.39","-0.94"
"32","A","Rei","no",NA,NA,NA,"0.74","0.06","-0.88"
"33","H","Lyo","no",NA,NA,NA,"0.69","0.13","-0.75"
"34","A","Nan","no",NA,NA,NA,"0.78","0.01","-0.75"
"35","H","Nic","no",NA,NA,NA,"0.59","0.26","-0.49"
"36","A","Tro","no",NA,NA,NA,"1.25","-0.59","-1.08"
"37","H","PSG","no",NA,NA,NA,"0.17","0.78","-0.30"
"38","A","Lor","no",NA,NA,NA,"0.55","0.30","-0.00"
