"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Mtp","yes",0,-1,2,"1.38","-0.25","-0.25"
"2","H","Tou","yes",0,-3,0,"1.25","-0.13","-0.38"
"3","A","Lyo","yes",0,-3,1,"0.65","0.41","0.03"
"4","H","Ang","yes",3,2,3,"1.68","-0.52","-0.49"
"5","A","Mco","yes",3,2,4,"1.02","0.08","-0.40"
"6","H","Ren","yes",1,0,1,"0.83","0.25","-0.16"
"7","A","Len","yes",0,-1,0,"0.20","0.82","0.66"
"8","A","Cle","yes",3,2,3,"1.14","-0.03","0.63"
"9","H","Rei","yes",1,0,2,"1.45","-0.31","0.32"
"10","A","Nic","yes",0,-1,2,"1.43","-0.30","0.02"
"11","H","Aja","yes",1,0,1,"1.34","-0.21","-0.19"
"12","H","Lor","yes",1,0,2,"0.54","0.51","0.32"
"13","A","PSG","yes",0,-1,3,"0.24","0.78","1.10"
"14","H","Aux","yes",1,0,1,"1.51","-0.37","0.74"
"15","A","Bre","no",NA,NA,NA,"1.93","-0.74","-0.01"
"16","H","Nan","no",NA,NA,NA,"1.86","-0.68","-0.69"
"17","A","Str","no",NA,NA,NA,"1.85","-0.67","-1.36"
"18","H","Mar","no",NA,NA,NA,"0.84","0.24","-1.12"
"19","A","Lil","no",NA,NA,NA,"0.60","0.46","-0.66"
"20","H","Len","no",NA,NA,NA,"0.67","0.40","-0.26"
"21","A","Tou","no",NA,NA,NA,"1.02","0.08","-0.19"
"22","H","Lyo","no",NA,NA,NA,"1.28","-0.16","-0.34"
"23","A","Rei","no",NA,NA,NA,"1.19","-0.08","-0.42"
"24","H","Mtp","no",NA,NA,NA,"1.58","-0.43","-0.85"
"25","A","Aja","no",NA,NA,NA,"1.62","-0.47","-1.31"
"26","H","Mco","no",NA,NA,NA,"0.42","0.62","-0.69"
"27","A","Lor","no",NA,NA,NA,"0.71","0.36","-0.34"
"28","H","Bre","no",NA,NA,NA,"1.40","-0.26","-0.60"
"29","A","Aux","no",NA,NA,NA,"1.36","-0.23","-0.83"
"30","H","Cle","no",NA,NA,NA,"1.08","0.03","-0.80"
"31","A","Mar","no",NA,NA,NA,"0.77","0.30","-0.50"
"32","A","Nan","no",NA,NA,NA,"1.04","0.06","-0.44"
"33","H","Nic","no",NA,NA,NA,"0.78","0.29","-0.15"
"34","H","PSG","no",NA,NA,NA,"0.17","0.85","0.70"
"35","A","Ren","no",NA,NA,NA,"0.51","0.54","1.24"
"36","H","Str","no",NA,NA,NA,"1.74","-0.58","0.66"
"37","A","Ang","no",NA,NA,NA,"2.06","-0.86","-0.20"
"38","H","Lil","no",NA,NA,NA,"0.89","0.20","-0.00"
