"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Nic","yes",1,0,1,"0.95","0.47","0.47"
"2","H","Nan","yes",3,2,2,"2.39","-0.34","0.13"
"3","A","Lor","yes",0,-3,1,"1.75","0.02","0.16"
"4","H","Mtp","yes",3,1,1,"2.35","-0.31","-0.16"
"5","A","Ren","yes",1,0,2,"1.03","0.43","0.27"
"6","H","Rei","yes",0,-1,1,"2.27","-0.27","0.00"
"7","A","Hav","yes",3,2,2,"1.30","0.27","0.27"
"8","A","Len","yes",1,0,1,"0.86","0.52","0.80"
"9","H","Bre","yes",3,1,1,"1.98","-0.11","0.69"
"10","H","Mco","yes",3,2,2,"1.72","0.04","0.73"
"11","A","Mar","yes",1,0,0,"0.68","0.62","1.35"
"12","H","Tou","yes",1,0,1,"2.36","-0.32","1.03"
"13","A","Lyo","yes",3,2,2,"1.57","0.12","1.15"
"14","H","Met","yes",3,2,2,"2.52","-0.41","0.74"
"15","A","Cle","yes",1,0,0,"1.97","-0.10","0.64"
"16","H","PSG","yes",1,0,1,"1.14","0.36","1.01"
"17","A","Str","yes",0,-1,1,"1.38","0.23","1.23"
"18","H","Lor","yes",3,3,3,"2.53","-0.42","0.82"
"19","A","Mtp","yes",1,0,0,"1.67","0.07","0.89"
"20","H","Cle","yes",3,4,4,"2.64","-0.47","0.41"
"21","A","PSG","yes",0,-2,1,"0.56","0.69","1.10"
"22","H","Hav","yes",3,3,3,"2.66","-0.49","0.61"
"23","A","Tou","yes",0,-2,1,"1.56","0.13","0.74"
"24","A","Rei","yes",3,1,1,"1.11","0.38","1.12"
"25","H","Ren","yes",1,0,2,"2.36","-0.32","0.80"
"26","A","Bre","yes",1,0,1,"0.77","0.57","1.37"
"27","H","Len","yes",3,1,2,"2.28","-0.28","1.10"
"28","H","Mar","yes",3,2,3,"2.63","-0.47","0.63"
"29","H","Str","no",NA,NA,NA,"2.46","-0.37","0.26"
"30","A","Mco","no",NA,NA,NA,"1.02","0.43","0.69"
"31","A","Met","no",NA,NA,NA,"2.01","-0.12","0.56"
"32","H","Lyo","no",NA,NA,NA,"2.24","-0.25","0.31"
"33","A","Nan","no",NA,NA,NA,"1.80","-0.01","0.30"
"34","H","Nic","no",NA,NA,NA,"2.33","-0.30","-0.00"
