"team","teamId","playedGames","goalDifference","points","rank"
"Paris Saint-Germain FC",524,29,55,77,1
"Olympique de Marseille",516,30,20,55,2
"AS Monaco FC",548,30,22,54,3
"Olympique Lyonnais",523,29,18,51,4
"RC Strasbourg Alsace",576,30,11,51,5
"Lille OSC",521,29,13,50,6
"OGC Nice",522,29,17,48,7
"Stade Brestois 29",512,29,1,44,8
"Racing Club de Lens",546,29,0,42,9
"Stade Rennais FC 1901",529,30,5,38,10
"AJ Auxerre",519,29,-2,38,11
"Toulouse FC",511,29,0,34,12
"FC Nantes",543,29,-15,30,13
"Angers SCO",532,29,-18,30,14
"Stade de Reims",547,29,-11,29,15
"Le Havre AC",533,30,-31,27,16
"AS Saint-Étienne",527,29,-36,24,17
"Montpellier HSC",518,30,-49,15,18
