"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Bre","yes",3,4,5,"1.49","0.19","0.19"
"2","H","Rei","yes",1,0,2,"1.97","-0.07","0.13"
"3","A","Tou","yes",3,2,3,"2.29","-0.24","-0.11"
"4","H","Nic","yes",3,2,2,"1.82","0.02","-0.10"
"5","A","Lyo","yes",3,1,3,"1.34","0.27","0.18"
"6","A","Str","yes",0,-1,0,"1.41","0.24","0.41"
"7","H","Ang","yes",1,0,1,"2.00","-0.09","0.33"
"8","A","Mtp","yes",3,5,5,"2.52","-0.36","-0.04"
"9","H","PSG","yes",0,-3,0,"0.41","0.78","0.74"
"10","A","Nan","yes",3,1,2,"2.17","-0.18","0.56"
"11","H","Aux","yes",0,-2,1,"2.26","-0.23","0.34"
"12","A","Len","yes",3,2,3,"2.07","-0.12","0.22"
"13","H","Mco","yes",3,1,2,"1.68","0.09","0.30"
"14","A","StE","yes",3,2,2,"2.18","-0.18","0.12"
"15","H","Lil","yes",1,0,1,"1.73","0.06","0.18"
"16","H","Hav","yes",3,4,5,"2.01","-0.09","0.10"
"17","A","Ren","yes",3,1,2,"1.97","-0.07","0.03"
"18","H","Str","yes",1,0,1,"1.69","0.08","0.11"
"19","A","Nic","yes",0,-2,0,"1.40","0.24","0.35"
"20","H","Lyo","yes",3,1,3,"1.64","0.11","0.46"
"21","A","Ang","yes",3,2,2,"2.40","-0.30","0.17"
"22","H","StE","yes",3,4,5,"2.57","-0.39","-0.23"
"23","A","Aux","yes",0,-3,0,"1.70","0.08","-0.15"
"24","H","Nan","yes",3,2,2,"2.15","-0.17","-0.31"
"25","H","Len","yes",0,-1,0,"1.55","0.16","-0.15"
"26","A","PSG","yes",0,-2,1,"0.46","0.75","0.60"
"27","A","Rei","yes",0,-2,1,"2.39","-0.30","0.30"
"28","H","Tou","yes",3,1,3,"1.72","0.07","0.37"
"29","A","Mco","yes",0,-3,0,"1.04","0.44","0.81"
"30","H","Mtp","no",NA,NA,NA,"2.72","-0.47","0.34"
"31","H","Bre","no",NA,NA,NA,"2.00","-0.08","0.25"
"32","A","Lil","no",NA,NA,NA,"1.27","0.31","0.56"
"33","A","Hav","no",NA,NA,NA,"2.57","-0.39","0.17"
"34","H","Ren","no",NA,NA,NA,"2.16","-0.17","0.00"
