"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Mco","yes",0,-1,0,"0.15","0.82","0.82"
"2","H","Hav","yes",0,-2,0,"1.33","-0.59","0.23"
"3","A","Bre","yes",0,-4,0,"0.26","0.69","0.91"
"4","H","Lil","yes",3,1,1,"1.03","-0.23","0.68"
"5","A","Nic","yes",0,-8,0,"0.24","0.71","1.39"
"6","A","Nan","yes",1,0,2,"0.61","0.27","1.67"
"7","H","Aux","yes",3,2,3,"1.66","-0.98","0.69"
"8","H","Len","yes",0,-2,0,"0.87","-0.04","0.65"
"9","A","Ang","yes",0,-2,2,"0.91","-0.09","0.56"
"10","H","Str","yes",3,2,2,"1.00","-0.19","0.37"
"11","A","Lyo","yes",0,-1,0,"0.22","0.74","1.11"
"12","H","Mtp","yes",3,1,1,"2.36","-1.82","-0.71"
"13","A","Ren","yes",0,-5,0,"0.46","0.45","-0.26"
"14","H","Mar","yes",0,-2,0,"0.65","0.23","-0.04"
"15","A","Tou","yes",0,-1,1,"0.71","0.15","0.11"
"16","H","Rei","yes",3,2,3,"1.28","-0.53","-0.42"
"17","A","PSG","yes",0,-1,1,"0.06","0.93","0.51"
"18","H","Nan","yes",1,0,1,"1.52","-0.81","-0.30"
"19","A","Aux","yes",1,0,1,"0.29","0.65","0.35"
"20","A","Lil","yes",0,-3,1,"0.20","0.76","1.11"
"21","H","Ren","yes",0,-2,0,"1.63","-0.94","0.16"
"22","A","Mar","yes",0,-4,1,"0.28","0.66","0.82"
"23","H","Ang","yes",1,0,3,"1.32","-0.58","0.24"
"24","H","Nic","yes",0,-2,1,"1.12","-0.34","-0.09"
"25","A","Hav","yes",1,0,1,"1.07","-0.28","-0.37"
"26","A","Mtp","yes",3,2,2,"1.04","-0.24","-0.62"
"27","H","PSG","yes",0,-5,1,"0.18","0.78","0.17"
"28","A","Len","yes",0,-1,0,"0.53","0.37","0.54"
"29","H","Bre","no",NA,NA,NA,"1.28","-0.53","0.01"
"30","H","Lyo","no",NA,NA,NA,"1.08","-0.29","-0.28"
"31","A","Str","no",NA,NA,NA,"0.24","0.71","0.43"
"32","H","Mco","no",NA,NA,NA,"1.00","-0.19","0.24"
"33","A","Rei","no",NA,NA,NA,"0.84","-0.01","0.23"
"34","H","Tou","no",NA,NA,NA,"1.03","-0.23","0.00"
