"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Lyo","Olympique Lyon",6,5,15,2,1,5.5,2.73
"PSG","PSG",6,8,15,1,2,5.8,2.6
"Mar","Marseille",6,7,12,3,3,4.7,2.56
"Len","RC Lens",6,3,10,7,4,4.3,2.31
"Lil","Lille",6,4,10,6,5,5.2,1.94
"Mco","Monaco",6,4,12,4,6,6.4,1.88
"RCS","Strasbourg",6,2,12,5,7,6.7,1.78
"Ren","Stade Rennais",6,-1,9,8,8,5.2,1.75
"Lor","Lorient",6,-5,7,13,9,5.6,1.25
"Tou","Toulouse",6,-2,7,10,10,6,1.17
"Bre","Brest",6,0,7,9,11,7,1
"Aux","Auxerre",6,-4,6,14,12,6.4,0.94
"Par","Paris FC",6,-3,7,11,13,7.5,0.93
"Nan","Nantes",6,-2,5,16,14,6.4,0.78
"Ang","Angers SCO",6,-3,5,17,15,7.6,0.66
"Nic","Nice",6,-3,7,12,16,10.7,0.65
"Hav","Le Havre",6,-2,5,15,17,8.1,0.62
"Met","FC Metz",6,-8,2,18,18,8.1,0.25
