"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Hav","yes",3,2,3,"2.38","-0.46","-0.46"
"2","A","Lil","yes",0,-1,0,"1.16","0.29","-0.18"
"3","H","RCS","yes",3,1,3,"1.64","-0.01","-0.18"
"4","A","Aux","yes",3,1,2,"1.74","-0.07","-0.25"
"5","H","Met","yes",3,3,5,"2.54","-0.56","-0.82"
"6","A","Lor","yes",0,-2,1,"1.12","0.31","-0.50"
"7","H","Nic","yes",1,0,2,"2.25","-0.38","-0.89"
"8","A","Ang","yes",1,0,1,"1.68","-0.03","-0.92"
"9","H","Tou","yes",3,1,1,"1.69","-0.04","-0.96"
"10","A","Nan","yes",3,2,5,"2.24","-0.37","-1.33"
"11","H","Par","yes",0,-1,0,"1.88","-0.15","-1.49"
"12","H","Len","yes",0,-3,1,"1.46","0.10","-1.38"
"13","A","Ren","yes",0,-3,1,"1.01","0.38","-1.00"
"14","H","PSG","yes",3,1,1,"0.77","0.53","-0.48"
"15","A","Bre","yes",0,-1,0,"1.45","0.11","-0.37"
"16","A","Mar","yes",0,-1,0,"0.91","0.44","0.07"
"17","H","Lyo","yes",0,-2,1,"1.63","-0.00","0.07"
"18","H","Lor","yes",0,-2,1,"2.08","-0.28","-0.21"
"19","A","Hav","yes",1,0,0,"1.68","-0.03","-0.24"
"20","H","Ren","yes",3,4,4,"1.45","0.11","-0.14"
"21","A","Nic","yes",1,0,0,"1.79","-0.10","-0.24"
"22","H","Nan","yes",3,2,3,"2.32","-0.42","-0.66"
"23","A","Len","yes",3,1,3,"0.54","0.67","0.01"
"24","H","Ang","yes",3,2,2,"2.21","-0.36","-0.35"
"25","A","PSG","yes",3,2,3,"0.59","0.64","0.29"
"26","H","Bre","yes",3,2,2,"2.19","-0.35","-0.06"
"27","A","Lyo","yes",3,1,2,"0.72","0.56","0.50"
"28","H","Mar","yes",3,1,2,"1.69","-0.04","0.46"
"29","A","Par","yes",0,-3,1,"1.70","-0.05","0.42"
"30","H","Aux","yes",1,0,2,"2.38","-0.46","-0.05"
"31","A","Tou","yes",1,0,2,"1.61","0.01","-0.03"
"32","A","Met","yes",3,1,2,"2.38","-0.46","-0.49"
"33","H","Lil","yes",0,-1,0,"1.10","0.32","-0.17"
"34","A","RCS","no",NA,NA,NA,"1.35","0.17","-0.00"
