"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","PSG","yes",0,-1,0,"0.15","0.78","0.78"
"2","A","RCS","yes",0,-1,0,"0.28","0.59","1.37"
"3","H","Aux","yes",3,1,1,"1.59","-1.30","0.07"
"4","A","Nic","yes",0,-1,0,"0.58","0.17","0.24"
"5","H","Ren","yes",1,0,2,"0.72","-0.05","0.19"
"6","A","Tou","yes",1,0,2,"0.94","-0.36","-0.17"
"7","A","Bre","yes",1,0,0,"1.16","-0.67","-0.84"
"8","H","Lil","yes",0,-2,0,"0.45","0.34","-0.49"
"9","A","Par","yes",3,1,2,"1.25","-0.81","-1.30"
"10","H","Mco","yes",0,-2,3,"0.62","0.10","-1.20"
"11","H","Met","yes",0,-2,0,"1.15","-0.67","-1.87"
"12","A","Hav","yes",1,0,1,"1.09","-0.57","-2.44"
"13","H","Lor","no",NA,NA,NA,"1.59","-1.30","-3.74"
"14","A","Lyo","no",NA,NA,NA,"0.36","0.48","-3.26"
"15","H","Len","no",NA,NA,NA,"0.24","0.66","-2.60"
"16","A","Ang","no",NA,NA,NA,"0.96","-0.38","-2.98"
"17","A","Mar","no",NA,NA,NA,"0.17","0.76","-2.23"
"18","H","Par","no",NA,NA,NA,"0.47","0.32","-1.90"
"19","H","Nic","no",NA,NA,NA,"0.78","-0.12","-2.03"
"20","A","Lor","no",NA,NA,NA,"0.92","-0.33","-2.36"
"21","H","Lyo","no",NA,NA,NA,"0.32","0.54","-1.82"
"22","A","Mco","no",NA,NA,NA,"0.61","0.13","-1.69"
"23","H","Hav","no",NA,NA,NA,"0.77","-0.12","-1.81"
"24","A","Lil","no",NA,NA,NA,"0.38","0.45","-1.35"
"25","H","Ang","no",NA,NA,NA,"0.82","-0.19","-1.54"
"26","A","PSG","no",NA,NA,NA,"0.17","0.75","-0.79"
"27","H","RCS","no",NA,NA,NA,"0.39","0.44","-0.35"
"28","A","Met","no",NA,NA,NA,"0.95","-0.37","-0.72"
"29","A","Aux","no",NA,NA,NA,"1.48","-1.14","-1.87"
"30","H","Bre","no",NA,NA,NA,"0.87","-0.26","-2.12"
"31","A","Ren","no",NA,NA,NA,"0.44","0.37","-1.76"
"32","H","Mar","no",NA,NA,NA,"0.17","0.75","-1.00"
"33","A","Len","no",NA,NA,NA,"0.18","0.75","-0.26"
"34","H","Tou","no",NA,NA,NA,"0.51","0.26","0.00"
