"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Nic","yes",3,1,1,"1.26","0.22","0.22"
"2","H","Bre","yes",3,2,2,"1.85","-0.15","0.07"
"3","H","PSG","yes",0,-3,3,"0.54","0.66","0.73"
"4","A","Lil","yes",0,-1,1,"0.86","0.46","1.20"
"5","A","Aux","yes",0,-1,0,"2.20","-0.37","0.83"
"6","H","Nan","yes",1,0,2,"1.94","-0.20","0.63"
"7","A","Lyo","yes",3,1,2,"0.75","0.54","1.17"
"8","H","Met","yes",3,4,4,"2.79","-0.73","0.43"
"9","A","Mco","yes",0,-1,0,"0.81","0.50","0.93"
"10","H","Ren","no",NA,NA,NA,"2.23","-0.39","0.55"
"11","H","Hav","no",NA,NA,NA,"2.21","-0.37","0.17"
"12","A","Lor","no",NA,NA,NA,"1.79","-0.11","0.07"
"13","H","Ang","no",NA,NA,NA,"2.56","-0.59","-0.52"
"14","A","Mar","no",NA,NA,NA,"0.27","0.84","0.32"
"15","H","RCS","no",NA,NA,NA,"1.24","0.23","0.55"
"16","A","Par","no",NA,NA,NA,"2.18","-0.35","0.20"
"17","H","Len","no",NA,NA,NA,"0.92","0.43","0.62"
"18","H","Nic","no",NA,NA,NA,"1.75","-0.09","0.54"
"19","A","Bre","no",NA,NA,NA,"1.94","-0.20","0.33"
"20","H","Aux","no",NA,NA,NA,"2.40","-0.49","-0.16"
"21","A","Ang","no",NA,NA,NA,"2.15","-0.33","-0.49"
"22","A","Hav","no",NA,NA,NA,"2.20","-0.36","-0.85"
"23","H","Par","no",NA,NA,NA,"1.95","-0.21","-1.07"
"24","A","Ren","no",NA,NA,NA,"1.50","0.07","-1.00"
"25","H","Mar","no",NA,NA,NA,"1.16","0.28","-0.71"
"26","A","Met","no",NA,NA,NA,"2.76","-0.71","-1.42"
"27","H","Lor","no",NA,NA,NA,"2.60","-0.61","-2.03"
"28","A","PSG","no",NA,NA,NA,"0.56","0.66","-1.38"
"29","H","Lil","no",NA,NA,NA,"1.02","0.37","-1.01"
"30","A","Len","no",NA,NA,NA,"0.57","0.65","-0.36"
"31","H","Mco","no",NA,NA,NA,"1.79","-0.11","-0.47"
"32","A","RCS","no",NA,NA,NA,"1.16","0.28","-0.19"
"33","H","Lyo","no",NA,NA,NA,"0.81","0.50","0.30"
"34","A","Nan","no",NA,NA,NA,"2.10","-0.30","0.00"
