"","HA","vs","played","sched","cumulative"
"1","A","Wol","yes","0.33","0.33"
"2","H","Dor","yes","0.35","0.68"
"3","A","Fbg","yes","0.26","0.94"
"4","H","BMg","yes","0.15","1.09"
"5","A","Mun","yes","0.79","1.88"
"6","H","Her","yes","-0.37","1.51"
"7","A","Sch","yes","0.18","1.69"
"8","H","Pad","yes","-0.83","0.86"
"9","A","Mai","yes","-0.01","0.86"
"10","A","Dus","yes","-0.12","0.74"
"11","H","Hof","yes","-0.23","0.51"
"12","A","Lei","yes","0.63","1.15"
"13","H","Aug","yes","-0.51","0.63"
"14","A","UnB","yes","0.06","0.69"
"15","H","Lev","yes","0.18","0.87"
"16","A","Fra","yes","0.14","1.01"
"17","H","Bre","yes","-0.70","0.31"
"18","H","Wol","yes","-0.19","0.12"
"19","A","Dor","yes","0.70","0.82"
"20","H","Fbg","yes","-0.28","0.54"
"21","H","Mun","yes","0.53","1.07"
"22","A","Her","yes","0.17","1.24"
"23","H","Sch","yes","-0.36","0.88"
"24","A","Pad","yes","-0.37","0.51"
"25","A","BMg","yes","0.58","1.09"
"26","H","Mai","yes","-0.54","0.55"
"27","H","Dus","yes","-0.64","-0.09"
"28","A","Hof","yes","0.30","0.22"
"29","H","Lei","yes","0.24","0.45"
"30","A","Aug","yes","0.03","0.48"
"31","H","UnB","no","-0.48","-0.00"
"32","A","Lev","no","0.60","0.59"
"33","H","Fra","no","-0.40","0.19"
"34","A","Bre","no","-0.19","-0.00"
