"","HA","vs","played","sched","cumulative"
"1","A","BMg","yes","0.61","0.61"
"2","H","Mun","yes","0.33","0.94"
"3","H","Her","yes","-0.38","0.56"
"4","A","Pad","yes","-0.33","0.23"
"5","H","Mai","yes","-0.45","-0.22"
"6","A","Lei","yes","0.61","0.39"
"7","H","Kln","yes","-0.26","0.13"
"8","A","Hof","yes","0.22","0.35"
"9","H","Dor","yes","0.27","0.62"
"10","A","Aug","yes","0.02","0.64"
"11","H","Dus","yes","-0.55","0.09"
"12","A","Bre","yes","-0.25","-0.16"
"13","H","UnB","yes","-0.33","-0.49"
"14","A","Lev","yes","0.53","0.04"
"15","H","Fra","yes","-0.37","-0.33"
"16","A","Wol","yes","0.27","-0.06"
"17","H","Fbg","yes","-0.21","-0.27"
"18","H","BMg","yes","0.22","-0.06"
"19","A","Mun","yes","0.69","0.63"
"20","A","Her","yes","0.06","0.69"
"21","H","Pad","yes","-0.65","0.04"
"22","A","Mai","yes","-0.03","0.02"
"23","H","Lei","yes","0.21","0.22"
"24","A","Kln","yes","0.20","0.43"
"25","H","Hof","yes","-0.25","0.18"
"26","A","Dor","yes","0.65","0.83"
"27","H","Aug","no","-0.42","0.41"
"28","A","Dus","no","-0.17","0.24"
"29","H","Bre","no","-0.60","-0.35"
"30","A","UnB","no","0.13","-0.23"
"31","H","Lev","no","0.10","-0.13"
"32","A","Fra","no","0.07","-0.06"
"33","H","Wol","no","-0.20","-0.26"
"34","A","Fbg","no","0.26","-0.00"
