"team","teamId","playedGames","goalDifference","points","rank"
"FC Bayern München",5,31,46,71,1
"RB Leipzig",721,32,29,64,2
"VfL Wolfsburg",11,32,25,60,3
"Borussia Dortmund",4,32,25,58,4
"Eintracht Frankfurt",19,31,15,56,5
"Bayer 04 Leverkusen",3,32,16,51,6
"Borussia Mönchengladbach",18,31,13,46,7
"1. FC Union Berlin",28,32,6,46,8
"VfB Stuttgart",10,32,2,42,9
"SC Freiburg",17,31,-1,41,10
"TSG 1899 Hoffenheim",2,32,-3,39,11
"1. FSV Mainz 05",15,31,-16,35,12
"FC Augsburg",16,32,-17,33,13
"SV Werder Bremen",12,32,-17,31,14
"Hertha BSC",9,30,-11,30,15
"Arminia Bielefeld",38,31,-28,30,16
"1. FC Köln",1,31,-24,29,17
"FC Schalke 04",6,31,-60,13,18
