"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","UnB","yes",3,2,"0.59","0.42","0.42"
"2","H","Dor","yes",3,2,"0.76","0.25","0.66"
"3","A","Wol","yes",1,0,"0.42","0.59","1.25"
"4","H","Lei","yes",0,-2,"0.65","0.36","1.61"
"5","A","Lev","yes",0,-2,"0.62","0.39","2.00"
"6","H","Mai","yes",3,2,"1.16","-0.14","1.86"
"7","H","Her","yes",0,-3,"1.57","-0.55","1.31"
"8","A","BMg","yes",1,0,"0.62","0.39","1.70"
"9","H","Fbg","yes",1,0,"1.40","-0.38","1.32"
"10","A","Hof","yes",0,-2,"0.80","0.21","1.53"
"11","H","Sch","yes",1,0,"2.35","-1.32","0.22"
"12","A","Bie","yes",3,1,"1.04","-0.03","0.19"
"13","H","Fra","yes",0,-2,"0.94","0.08","0.27"
"14","A","Kln","yes",3,1,"1.50","-0.48","-0.21"
"15","H","Stu","yes",0,-3,"1.07","-0.05","-0.27"
"16","A","Bre","yes",0,-2,"1.46","-0.44","-0.71"
"17","H","Mun","yes",0,-1,"0.45","0.56","-0.15"
"18","H","UnB","yes",3,1,"1.33","-0.31","-0.46"
"19","A","Dor","yes",0,-2,"0.55","0.46","-0.01"
"20","H","Wol","yes",0,-2,"0.85","0.17","0.16"
"21","A","Lei","yes",0,-1,"0.34","0.67","0.82"
"22","H","Lev","yes",1,0,"0.91","0.10","0.93"
"23","A","Mai","yes",3,1,"1.32","-0.30","0.63"
"24","A","Her","yes",0,-1,"1.02","-0.01","0.62"
"25","H","BMg","yes",3,2,"1.21","-0.19","0.43"
"26","A","Fbg","yes",0,-2,"0.74","0.27","0.70"
"27","H","Hof","yes",3,1,"1.47","-0.45","0.26"
"28","A","Sch","yes",0,-1,"1.69","-0.66","-0.41"
"29","H","Bie","yes",1,0,"1.70","-0.68","-1.08"
"30","A","Fra","yes",0,-2,"0.34","0.67","-0.42"
"31","H","Kln","yes",0,-1,"1.20","-0.18","-0.60"
"32","A","Stu","yes",0,-1,"0.95","0.06","-0.53"
"33","H","Bre","no",NA,NA,"1.27","-0.25","-0.78"
"34","A","Mun","no",NA,NA,"0.22","0.78","-0.00"
