"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Bie","yes",1,0,"2.49","-0.37","-0.37"
"2","A","Her","yes",3,2,"1.75","0.04","-0.34"
"3","H","Hof","yes",3,1,"2.36","-0.30","-0.64"
"4","A","Kln","yes",1,0,"2.23","-0.23","-0.87"
"5","A","Mun","yes",0,-5,"0.49","0.73","-0.14"
"6","H","Bre","yes",1,0,"2.22","-0.23","-0.36"
"7","A","Stu","yes",1,0,"1.67","0.08","-0.28"
"8","H","Lei","yes",1,0,"1.68","0.07","-0.21"
"9","A","UnB","yes",1,0,"1.19","0.34","0.13"
"10","H","Dor","yes",1,0,"1.74","0.04","0.16"
"11","A","Wol","yes",0,-1,"0.86","0.52","0.69"
"12","H","BMg","yes",1,0,"2.20","-0.21","0.47"
"13","A","Aug","yes",3,2,"1.79","0.01","0.49"
"14","H","Lev","yes",3,1,"1.98","-0.09","0.39"
"15","A","Mai","yes",3,2,"2.03","-0.12","0.28"
"16","H","Sch","yes",3,2,"2.79","-0.54","-0.26"
"17","A","Fbg","yes",1,0,"1.42","0.22","-0.05"
"18","A","Bie","yes",3,4,"1.77","0.02","-0.02"
"19","H","Her","yes",3,2,"2.42","-0.33","-0.36"
"20","A","Hof","yes",3,2,"1.46","0.20","-0.16"
"21","H","Kln","yes",3,2,"2.16","-0.19","-0.36"
"22","H","Mun","yes",3,1,"1.24","0.31","-0.04"
"23","A","Bre","yes",0,-1,"2.12","-0.17","-0.21"
"24","H","Stu","yes",1,0,"2.06","-0.14","-0.35"
"25","A","Lei","yes",1,0,"0.76","0.58","0.23"
"26","H","UnB","yes",3,3,"2.29","-0.27","-0.03"
"27","A","Dor","yes",3,1,"1.01","0.44","0.41"
"28","H","Wol","yes",3,1,"1.84","-0.01","0.39"
"29","A","BMg","yes",0,-4,"1.24","0.31","0.71"
"30","H","Aug","yes",3,2,"2.43","-0.34","0.37"
"31","A","Lev","yes",0,-2,"1.24","0.32","0.68"
"32","H","Mai","yes",1,0,"2.11","-0.17","0.51"
"33","A","Sch","no",NA,NA,"2.30","-0.27","0.24"
"34","H","Fbg","no",NA,NA,"2.25","-0.24","0.00"
