"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Her","yes",3,2,"1.68","-0.31","-0.31"
"2","A","Mun","yes",0,-1,"0.41","0.68","0.38"
"3","H","Boc","yes",3,1,"1.96","-0.53","-0.15"
"4","A","Fbg","yes",1,0,"1.18","0.08","-0.07"
"5","H","Lei","yes",1,0,"2.07","-0.61","-0.68"
"6","A","Fra","yes",1,0,"1.23","0.04","-0.64"
"7","H","Fur","yes",3,2,"2.46","-0.91","-1.55"
"8","A","Hof","yes",0,-5,"0.66","0.49","-1.07"
"9","H","Lev","yes",1,0,"1.03","0.20","-0.87"
"10","A","Dor","yes",0,-2,"0.35","0.73","-0.14"
"11","H","UnB","yes",1,0,"1.75","-0.36","-0.51"
"12","A","Mai","yes",1,0,"0.90","0.30","-0.21"
"13","H","BMg","yes",3,3,"2.02","-0.57","-0.78"
"14","A","Bie","yes",1,0,"1.47","-0.14","-0.92"
"15","H","Aug","yes",0,-2,"1.82","-0.42","-1.34"
"16","A","Wol","yes",3,1,"1.48","-0.15","-1.49"
"17","H","Stu","no",NA,NA,"1.65","-0.28","-1.77"
"18","A","Her","no",NA,NA,"1.13","0.12","-1.65"
"19","H","Mun","no",NA,NA,"0.55","0.57","-1.08"
"20","A","Boc","no",NA,NA,"0.73","0.44","-0.64"
"21","H","Fbg","no",NA,NA,"1.07","0.17","-0.48"
"22","A","Lei","no",NA,NA,"0.60","0.53","0.06"
"23","H","Fra","no",NA,NA,"1.32","-0.03","0.03"
"24","A","Fur","no",NA,NA,"1.75","-0.36","-0.33"
"25","H","Hof","no",NA,NA,"1.45","-0.13","-0.46"
"26","A","Lev","no",NA,NA,"1.00","0.22","-0.24"
"27","H","Dor","no",NA,NA,"1.33","-0.03","-0.27"
"28","A","UnB","no",NA,NA,"0.67","0.48","0.21"
"29","H","Mai","no",NA,NA,"1.60","-0.25","-0.04"
"30","A","BMg","no",NA,NA,"0.76","0.41","0.37"
"31","H","Bie","no",NA,NA,"1.85","-0.44","-0.07"
"32","A","Aug","no",NA,NA,"1.12","0.13","0.06"
"33","H","Wol","no",NA,NA,"1.37","-0.06","-0.00"
"34","A","Stu","no",NA,NA,"1.28","0.00","-0.00"
