"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","UnB","yes",1,0,"1.40","0.15","0.15"
"2","H","BMg","yes",3,4,"1.82","-0.11","0.03"
"3","A","Aug","yes",3,3,"1.68","-0.03","0.01"
"4","H","Dor","yes",0,-1,"1.43","0.13","0.13"
"5","A","Stu","yes",3,2,"1.87","-0.15","-0.01"
"6","H","Mai","yes",3,1,"1.53","0.07","0.05"
"7","A","Bie","yes",3,4,"2.27","-0.39","-0.34"
"8","H","Mun","yes",0,-4,"0.75","0.54","0.21"
"9","A","Kln","yes",1,0,"1.61","0.01","0.22"
"10","H","Wol","yes",0,-2,"1.25","0.23","0.45"
"11","A","Her","yes",1,0,"1.88","-0.15","0.30"
"12","H","Boc","yes",3,1,"2.00","-0.23","0.08"
"13","A","Lei","no",NA,NA,"1.14","0.30","0.38"
"14","H","Fur","no",NA,NA,"2.36","-0.44","-0.06"
"15","A","Fra","no",NA,NA,"2.36","-0.44","-0.51"
"16","H","Hof","no",NA,NA,"1.74","-0.06","-0.57"
"17","A","Fbg","no",NA,NA,"1.81","-0.11","-0.68"
"18","H","UnB","no",NA,NA,"1.31","0.20","-0.48"
"19","A","BMg","no",NA,NA,"1.30","0.20","-0.27"
"20","H","Aug","no",NA,NA,"2.07","-0.27","-0.54"
"21","A","Dor","no",NA,NA,"0.57","0.65","0.11"
"22","H","Stu","no",NA,NA,"1.83","-0.12","-0.01"
"23","A","Mai","no",NA,NA,"1.87","-0.15","-0.16"
"24","H","Bie","no",NA,NA,"1.61","0.01","-0.14"
"25","A","Mun","no",NA,NA,"1.11","0.32","0.17"
"26","H","Kln","no",NA,NA,"1.89","-0.16","0.02"
"27","A","Wol","no",NA,NA,"1.84","-0.12","-0.11"
"28","H","Her","no",NA,NA,"1.58","0.03","-0.07"
"29","A","Boc","no",NA,NA,"1.55","0.05","-0.02"
"30","H","Lei","no",NA,NA,"2.00","-0.23","-0.25"
"31","A","Fur","no",NA,NA,"2.45","-0.50","-0.75"
"32","H","Fra","no",NA,NA,"1.17","0.28","-0.46"
"33","A","Hof","no",NA,NA,"1.42","0.13","-0.33"
"34","H","Fbg","no",NA,NA,"1.09","0.33","-0.00"
