"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Boc","yes",3,1,"1.63","-0.37","-0.37"
"2","A","Her","yes",3,1,"1.18","0.01","-0.37"
"3","H","Lei","yes",3,1,"1.07","0.10","-0.27"
"4","A","Fur","yes",3,2,"1.60","-0.35","-0.61"
"5","H","Fra","yes",1,0,"1.09","0.08","-0.53"
"6","A","Hof","yes",0,-2,"0.83","0.30","-0.23"
"7","H","BMg","yes",0,-2,"1.46","-0.23","-0.47"
"8","A","UnB","yes",0,-2,"0.68","0.43","-0.04"
"9","H","Fbg","yes",0,-2,"1.05","0.11","0.07"
"10","A","Lev","yes",3,2,"0.95","0.20","0.27"
"11","H","Aug","yes",3,1,"1.68","-0.42","-0.15"
"12","A","Bie","yes",1,0,"1.57","-0.32","-0.47"
"13","H","Dor","yes",0,-2,"0.91","0.23","-0.24"
"14","A","Mai","yes",0,-3,"0.59","0.50","0.26"
"15","H","Stu","yes",0,-2,"1.87","-0.58","-0.32"
"16","H","Kln","yes",0,-1,"1.21","-0.02","-0.34"
"17","A","Mun","yes",0,-4,"0.38","0.68","0.34"
"18","A","Boc","yes",0,-1,"0.99","0.16","0.50"
"19","H","Her","yes",1,0,"1.75","-0.47","0.03"
"20","A","Lei","yes",0,-2,"0.69","0.42","0.45"
"21","H","Fur","yes",3,3,"2.24","-0.89","-0.44"
"22","A","Fra","yes",3,2,"1.41","-0.19","-0.63"
"23","H","Hof","yes",0,-1,"1.38","-0.17","-0.79"
"24","A","BMg","yes",1,0,"1.11","0.06","-0.73"
"25","H","UnB","yes",3,1,"1.35","-0.14","-0.87"
"26","A","Fbg","yes",0,-1,"0.84","0.29","-0.58"
"27","H","Lev","yes",0,-2,"0.82","0.31","-0.28"
"28","A","Aug","yes",0,-3,"1.12","0.06","-0.22"
"29","H","Bie","yes",3,4,"1.70","-0.43","-0.65"
"30","A","Dor","yes",0,-5,"0.52","0.56","-0.09"
"31","H","Mai","yes",3,5,"2.00","-0.69","-0.78"
"32","A","Stu","yes",1,0,"1.32","-0.11","-0.89"
"33","A","Kln","no",NA,NA,"0.73","0.38","-0.51"
"34","H","Mun","no",NA,NA,"0.58","0.51","0.00"
