"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Fbg","yes",0,-4,0,"0.61","0.46","0.46"
"2","A","Lev","yes",3,1,2,"1.51","-0.34","0.11"
"3","H","Mai","yes",0,-1,1,"0.67","0.40","0.52"
"4","A","Hof","yes",0,-1,0,"1.18","-0.05","0.47"
"5","H","Her","yes",0,-2,0,"1.52","-0.36","0.11"
"6","A","Bre","yes",3,1,1,"1.34","-0.19","-0.08"
"7","H","Mun","yes",3,1,1,"0.45","0.60","0.51"
"8","A","Sch","yes",3,1,3,"2.07","-0.85","-0.34"
"9","H","Wol","yes",1,0,1,"0.97","0.13","-0.20"
"10","A","Kln","yes",0,-1,2,"1.11","0.01","-0.20"
"11","H","Lei","yes",1,0,3,"1.19","-0.06","-0.25"
"12","A","Stu","yes",0,-1,1,"1.50","-0.34","-0.60"
"13","H","Fra","yes",0,-1,1,"0.57","0.49","-0.10"
"14","A","UnB","no",NA,NA,NA,"0.46","0.59","0.49"
"15","H","Boc","no",NA,NA,NA,"2.12","-0.89","-0.40"
"16","A","Dor","no",NA,NA,NA,"0.73","0.34","-0.06"
"17","H","BMg","no",NA,NA,NA,"1.38","-0.24","-0.29"
"18","A","Fbg","no",NA,NA,NA,"0.74","0.34","0.05"
"19","H","Lev","no",NA,NA,NA,"1.33","-0.19","-0.14"
"20","A","Mai","no",NA,NA,NA,"1.60","-0.43","-0.57"
"21","H","Hof","no",NA,NA,NA,"0.99","0.11","-0.46"
"22","A","Her","no",NA,NA,NA,"1.58","-0.41","-0.87"
"23","H","Bre","no",NA,NA,NA,"0.70","0.38","-0.49"
"24","A","Mun","no",NA,NA,NA,"0.50","0.55","0.06"
"25","H","Sch","no",NA,NA,NA,"1.95","-0.75","-0.69"
"26","A","Wol","no",NA,NA,NA,"1.26","-0.13","-0.81"
"27","H","Kln","no",NA,NA,NA,"1.15","-0.02","-0.84"
"28","A","Lei","no",NA,NA,NA,"0.60","0.46","-0.38"
"29","H","Stu","no",NA,NA,NA,"1.41","-0.26","-0.64"
"30","A","Fra","no",NA,NA,NA,"1.14","-0.01","-0.65"
"31","H","UnB","no",NA,NA,NA,"0.94","0.16","-0.49"
"32","A","Boc","no",NA,NA,NA,"1.22","-0.09","-0.58"
"33","H","Dor","no",NA,NA,NA,"0.76","0.32","-0.26"
"34","A","BMg","no",NA,NA,NA,"0.83","0.26","-0.00"
