"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Wol","yes",1,0,2,"1.27","-0.14","-0.14"
"2","H","Stu","yes",1,0,2,"1.52","-0.36","-0.51"
"3","A","Dor","yes",3,1,3,"0.32","0.71","0.20"
"4","H","Fra","yes",0,-1,3,"0.90","0.19","0.39"
"5","A","Boc","yes",3,2,2,"1.50","-0.35","0.04"
"6","H","Aug","yes",0,-1,0,"1.30","-0.17","-0.13"
"7","A","Lev","yes",1,0,1,"1.05","0.05","-0.08"
"8","H","BMg","yes",3,4,5,"1.58","-0.42","-0.50"
"9","A","Hof","yes",3,1,2,"1.72","-0.54","-1.05"
"10","H","Mai","yes",0,-2,0,"0.80","0.28","-0.76"
"11","A","Fbg","yes",0,-2,0,"0.81","0.27","-0.49"
"12","H","Her","yes",3,1,1,"1.91","-0.72","-1.21"
"13","H","Sch","yes",3,1,2,"1.65","-0.48","-1.69"
"14","A","Mun","yes",0,-5,1,"0.54","0.51","-1.17"
"15","H","Lei","yes",0,-1,1,"0.90","0.19","-0.98"
"16","A","Kln","yes",0,-6,1,"1.47","-0.32","-1.30"
"17","H","UnB","yes",0,-1,1,"0.60","0.46","-0.85"
"18","H","Wol","yes",3,1,2,"0.67","0.39","-0.45"
"19","A","Stu","yes",3,2,2,"1.57","-0.41","-0.86"
"20","H","Dor","yes",0,-2,0,"0.65","0.42","-0.45"
"21","A","Fra","yes",0,-2,0,"1.14","-0.03","-0.47"
"22","H","Boc","yes",3,3,3,"1.61","-0.45","-0.92"
"23","A","Aug","yes",0,-1,1,"1.61","-0.45","-1.37"
"24","H","Lev","yes",0,-1,2,"0.66","0.40","-0.97"
"25","A","BMg","yes",1,0,2,"0.99","0.11","-0.86"
"26","H","Hof","yes",0,-1,1,"1.28","-0.15","-1.01"
"27","A","Mai","yes",1,0,2,"1.15","-0.03","-1.05"
"28","H","Fbg","yes",0,-1,1,"0.58","0.47","-0.57"
"29","A","Her","yes",3,2,4,"1.63","-0.46","-1.04"
"30","A","Sch","yes",0,-1,1,"1.64","-0.48","-1.52"
"31","H","Mun","no",NA,NA,NA,"0.45","0.59","-0.92"
"32","A","Lei","no",NA,NA,NA,"0.54","0.51","-0.41"
"33","H","Kln","no",NA,NA,NA,"1.07","0.04","-0.37"
"34","A","UnB","no",NA,NA,NA,"0.70","0.37","-0.00"
