"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Aug","yes",3,4,4,"1.78","-0.02","-0.02"
"2","H","Dor","yes",0,-2,1,"1.67","0.04","0.02"
"3","A","Stu","yes",3,1,1,"1.77","-0.01","0.01"
"4","H","Boc","yes",3,1,1,"2.62","-0.50","-0.49"
"5","A","Lev","yes",3,1,3,"1.62","0.07","-0.42"
"6","H","BMg","yes",1,0,0,"2.32","-0.33","-0.75"
"7","A","Hof","yes",1,0,0,"1.82","-0.04","-0.80"
"8","H","Mai","yes",3,1,2,"2.06","-0.18","-0.98"
"9","A","Her","yes",1,0,2,"1.84","-0.06","-1.03"
"10","A","Mun","yes",0,-5,0,"0.89","0.49","-0.54"
"11","H","Bre","yes",3,2,2,"1.89","-0.08","-0.63"
"12","A","Sch","yes",3,2,2,"2.12","-0.21","-0.84"
"13","H","Kln","yes",3,2,2,"2.29","-0.31","-1.15"
"14","A","Lei","yes",0,-2,1,"0.62","0.65","-0.51"
"15","H","UnB","yes",3,3,4,"1.82","-0.05","-0.55"
"16","A","Wol","yes",0,-6,0,"1.31","0.25","-0.30"
"17","H","Fra","yes",1,0,1,"1.68","0.04","-0.26"
"18","H","Aug","yes",3,2,3,"2.18","-0.25","-0.51"
"19","A","Dor","yes",0,-4,1,"0.72","0.59","0.07"
"20","H","Stu","no",NA,NA,NA,"2.48","-0.42","-0.35"
"21","A","Boc","no",NA,NA,NA,"1.28","0.27","-0.09"
"22","H","Lev","no",NA,NA,NA,"2.08","-0.19","-0.28"
"23","A","BMg","no",NA,NA,NA,"1.27","0.27","-0.01"
"24","H","Hof","no",NA,NA,NA,"2.28","-0.30","-0.32"
"25","A","Mai","no",NA,NA,NA,"1.76","-0.01","-0.33"
"26","H","Her","no",NA,NA,NA,"2.51","-0.44","-0.77"
"27","H","Mun","no",NA,NA,NA,"1.30","0.26","-0.51"
"28","A","Bre","no",NA,NA,NA,"1.69","0.03","-0.48"
"29","H","Sch","no",NA,NA,NA,"2.61","-0.50","-0.98"
"30","A","Kln","no",NA,NA,NA,"1.41","0.19","-0.79"
"31","H","Lei","no",NA,NA,NA,"2.04","-0.17","-0.96"
"32","A","UnB","no",NA,NA,NA,"0.57","0.67","-0.28"
"33","H","Wol","no",NA,NA,NA,"1.91","-0.10","-0.38"
"34","A","Fra","no",NA,NA,NA,"1.08","0.38","0.00"
