"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","UnB","yes",0,-2,1,"0.21","0.78","0.78"
"2","H","Fra","yes",1,0,1,"0.85","0.09","0.87"
"3","A","BMg","yes",0,-1,0,"0.47","0.50","1.38"
"4","H","Dor","yes",0,-1,0,"0.70","0.25","1.63"
"5","A","Aug","yes",3,2,2,"0.86","0.08","1.71"
"6","H","Lev","yes",1,0,2,"1.03","-0.09","1.62"
"7","A","Mai","yes",1,0,1,"0.81","0.14","1.77"
"8","H","Hof","yes",1,0,1,"1.54","-0.63","1.14"
"9","H","Fbg","yes",1,0,2,"0.92","0.02","1.16"
"10","A","Lei","yes",0,-1,2,"0.30","0.68","1.85"
"11","H","Sch","yes",3,1,2,"2.03","-1.15","0.70"
"12","A","Bre","yes",0,-1,0,"0.93","0.02","0.72"
"13","H","Mun","yes",0,-1,2,"0.58","0.38","1.10"
"14","A","Stu","yes",0,-1,1,"0.89","0.06","1.16"
"15","H","Kln","yes",3,2,2,"1.54","-0.63","0.52"
"16","A","Boc","yes",0,-2,1,"0.66","0.30","0.82"
"17","H","Wol","yes",0,-5,0,"1.09","-0.16","0.66"
"18","H","UnB","yes",0,-2,0,"0.75","0.20","0.87"
"19","A","Fra","yes",0,-3,0,"0.40","0.58","1.45"
"20","H","BMg","yes",3,3,4,"1.64","-0.74","0.71"
"21","A","Dor","no",NA,NA,NA,"0.28","0.71","1.41"
"22","H","Aug","no",NA,NA,NA,"1.40","-0.49","0.93"
"23","A","Lev","no",NA,NA,NA,"0.80","0.15","1.08"
"24","H","Mai","no",NA,NA,NA,"1.14","-0.20","0.87"
"25","A","Hof","no",NA,NA,NA,"1.08","-0.15","0.73"
"26","A","Fbg","no",NA,NA,NA,"0.32","0.66","1.39"
"27","H","Lei","no",NA,NA,NA,"0.99","-0.05","1.33"
"28","A","Sch","no",NA,NA,NA,"1.30","-0.38","0.95"
"29","H","Bre","no",NA,NA,NA,"0.99","-0.04","0.91"
"30","A","Mun","no",NA,NA,NA,"0.35","0.63","1.53"
"31","H","Stu","no",NA,NA,NA,"1.84","-0.95","0.59"
"32","A","Kln","no",NA,NA,NA,"0.54","0.42","1.01"
"33","H","Boc","no",NA,NA,NA,"2.10","-1.23","-0.22"
"34","A","Wol","no",NA,NA,NA,"0.74","0.22","-0.00"
