"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Stu","yes",1,0,1,"1.76","0.05","0.05"
"2","H","Kln","yes",1,0,2,"2.31","-0.24","-0.19"
"3","A","UnB","yes",0,-1,1,"0.78","0.58","0.39"
"4","H","Wol","yes",3,2,2,"2.13","-0.14","0.25"
"5","A","Fra","yes",0,-4,0,"1.25","0.33","0.57"
"6","H","Dor","yes",3,3,3,"2.03","-0.09","0.48"
"7","A","BMg","yes",0,-3,0,"1.15","0.38","0.87"
"8","H","Boc","yes",3,4,4,"2.67","-0.43","0.43"
"9","A","Mai","yes",1,0,1,"1.49","0.20","0.63"
"10","H","Her","yes",3,1,3,"2.77","-0.49","0.14"
"11","A","Aug","yes",1,0,3,"1.69","0.09","0.24"
"12","H","Lev","yes",3,2,2,"2.09","-0.13","0.11"
"13","A","Hof","yes",3,2,3,"1.80","0.03","0.15"
"14","H","Fbg","yes",3,2,3,"2.00","-0.08","0.07"
"15","A","Bre","yes",3,1,2,"2.00","-0.07","-0.00"
"16","H","Mun","yes",1,0,1,"1.68","0.10","0.10"
"17","A","Sch","yes",3,5,6,"1.84","0.01","0.11"
"18","H","Stu","yes",3,1,2,"2.65","-0.42","-0.31"
"19","A","Kln","yes",1,0,0,"1.63","0.12","-0.19"
"20","H","UnB","yes",0,-1,1,"2.08","-0.12","-0.31"
"21","A","Wol","yes",3,3,3,"1.41","0.24","-0.07"
"22","H","Fra","yes",3,1,2,"2.35","-0.26","-0.33"
"23","A","Dor","yes",0,-1,1,"0.36","0.81","0.48"
"24","H","BMg","yes",3,3,3,"2.65","-0.42","0.06"
"25","A","Boc","yes",0,-1,0,"1.63","0.13","0.18"
"26","H","Mai","yes",0,-3,0,"2.25","-0.21","-0.03"
"27","A","Her","yes",3,1,1,"1.75","0.06","0.03"
"28","H","Aug","yes",3,1,3,"2.56","-0.38","-0.34"
"29","A","Lev","yes",0,-2,0,"1.37","0.26","-0.08"
"30","H","Hof","yes",3,1,1,"2.54","-0.37","-0.45"
"31","A","Fbg","yes",3,1,1,"1.03","0.45","0.00"
"32","H","Bre","yes",3,1,2,"2.32","-0.25","-0.25"
"33","A","Mun","no",NA,NA,NA,"0.66","0.64","0.40"
"34","H","Sch","no",NA,NA,NA,"2.60","-0.40","-0.00"
