"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Her","yes",3,2,3,"2.64","-0.43","-0.43"
"2","A","Mai","yes",1,0,0,"1.82","0.02","-0.41"
"3","H","Lei","yes",3,1,2,"2.28","-0.23","-0.64"
"4","A","Sch","yes",3,5,6,"2.12","-0.14","-0.79"
"5","H","Mun","yes",1,0,1,"1.62","0.12","-0.67"
"6","A","Kln","yes",3,1,1,"1.33","0.28","-0.38"
"7","H","Wol","yes",3,2,2,"2.04","-0.10","-0.49"
"8","A","Fra","yes",0,-2,0,"1.10","0.41","-0.08"
"9","A","Stu","yes",3,1,1,"1.75","0.06","-0.02"
"10","H","Dor","yes",3,2,2,"2.06","-0.11","-0.13"
"11","A","Boc","yes",0,-1,1,"1.40","0.24","0.11"
"12","H","BMg","yes",3,1,2,"2.62","-0.41","-0.31"
"13","A","Lev","yes",0,-5,0,"1.48","0.20","-0.10"
"14","H","Aug","yes",1,0,2,"2.37","-0.28","-0.39"
"15","A","Fbg","yes",0,-3,1,"0.95","0.49","0.10"
"16","H","Hof","yes",3,2,3,"2.39","-0.29","-0.19"
"17","A","Bre","yes",3,1,2,"1.87","-0.01","-0.20"
"18","A","Her","no",NA,NA,NA,"1.71","0.07","-0.13"
"19","H","Mai","no",NA,NA,NA,"2.29","-0.24","-0.37"
"20","A","Lei","no",NA,NA,NA,"0.58","0.69","0.32"
"21","H","Sch","no",NA,NA,NA,"2.74","-0.48","-0.16"
"22","A","Mun","no",NA,NA,NA,"0.78","0.58","0.41"
"23","H","Kln","no",NA,NA,NA,"2.44","-0.32","0.10"
"24","A","Wol","no",NA,NA,NA,"1.28","0.31","0.40"
"25","H","Fra","no",NA,NA,NA,"2.00","-0.08","0.32"
"26","H","Stu","no",NA,NA,NA,"2.62","-0.41","-0.09"
"27","A","Dor","no",NA,NA,NA,"0.79","0.57","0.48"
"28","H","Boc","no",NA,NA,NA,"2.70","-0.46","0.02"
"29","A","BMg","no",NA,NA,NA,"1.12","0.39","0.41"
"30","H","Lev","no",NA,NA,NA,"2.17","-0.17","0.24"
"31","A","Aug","no",NA,NA,NA,"1.92","-0.04","0.20"
"32","H","Fbg","no",NA,NA,NA,"2.12","-0.15","0.05"
"33","A","Hof","no",NA,NA,NA,"1.63","0.12","0.17"
"34","H","Bre","no",NA,NA,NA,"2.17","-0.17","-0.00"
