"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Bre","yes",1,0,2,"1.21","0.16","0.16"
"2","A","Mun","yes",0,-2,0,"0.80","0.44","0.60"
"3","H","Sch","yes",1,0,0,"2.30","-0.60","0.01"
"4","A","Lei","yes",0,-2,0,"0.71","0.50","0.51"
"5","H","Kln","yes",0,-2,2,"1.77","-0.23","0.28"
"6","A","Fra","yes",3,1,1,"1.00","0.31","0.59"
"7","A","UnB","yes",0,-2,0,"0.51","0.64","1.23"
"8","H","Stu","yes",3,1,3,"2.15","-0.49","0.73"
"9","A","Aug","yes",1,0,1,"1.63","-0.13","0.60"
"10","H","BMg","yes",1,0,2,"1.96","-0.36","0.24"
"11","A","Lev","yes",1,0,2,"1.54","-0.07","0.17"
"12","H","Boc","yes",3,4,4,"2.34","-0.63","-0.46"
"13","A","Mai","yes",3,3,3,"1.55","-0.08","-0.54"
"14","H","Dor","yes",3,2,2,"1.00","0.31","-0.23"
"15","A","Hof","yes",3,1,2,"1.86","-0.29","-0.52"
"16","H","Fbg","yes",3,6,6,"1.36","0.05","-0.47"
"17","A","Her","yes",3,5,5,"1.65","-0.15","-0.61"
"18","A","Bre","yes",0,-1,1,"1.69","-0.17","-0.79"
"19","H","Mun","yes",0,-2,2,"0.70","0.52","-0.27"
"20","A","Sch","yes",1,0,0,"2.05","-0.43","-0.70"
"21","H","Lei","no",NA,NA,NA,"1.48","-0.03","-0.73"
"22","A","Kln","no",NA,NA,NA,"1.17","0.19","-0.54"
"23","H","Fra","no",NA,NA,NA,"1.19","0.17","-0.36"
"24","H","UnB","no",NA,NA,NA,"1.05","0.27","-0.09"
"25","A","Stu","no",NA,NA,NA,"1.78","-0.24","-0.33"
"26","H","Aug","no",NA,NA,NA,"1.76","-0.22","-0.55"
"27","A","BMg","no",NA,NA,NA,"1.21","0.16","-0.40"
"28","H","Lev","no",NA,NA,NA,"1.39","0.04","-0.36"
"29","A","Boc","no",NA,NA,NA,"1.20","0.16","-0.20"
"30","H","Mai","no",NA,NA,NA,"1.49","-0.04","-0.24"
"31","A","Dor","no",NA,NA,NA,"0.65","0.55","0.31"
"32","H","Hof","no",NA,NA,NA,"1.88","-0.30","0.01"
"33","A","Fbg","no",NA,NA,NA,"0.76","0.47","0.48"
"34","H","Her","no",NA,NA,NA,"2.13","-0.48","0.00"
