"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Kln","yes",3,1,1,"2.27","-0.22","-0.22"
"2","A","Boc","yes",1,0,1,"2.24","-0.20","-0.42"
"3","H","Hei","yes",1,0,2,"2.08","-0.11","-0.53"
"4","A","Fbg","yes",3,2,4,"2.01","-0.08","-0.61"
"5","H","Wol","yes",3,1,1,"2.18","-0.17","-0.78"
"6","A","Hof","yes",3,2,3,"2.42","-0.30","-1.08"
"7","H","UnB","yes",3,2,4,"2.26","-0.21","-1.29"
"8","H","Bre","yes",3,1,1,"2.13","-0.14","-1.43"
"9","A","Fra","yes",1,0,3,"1.90","-0.02","-1.45"
"10","H","Mun","yes",0,-4,0,"1.10","0.41","-1.04"
"11","A","Stu","yes",0,-1,1,"1.03","0.45","-0.59"
"12","H","BMg","yes",3,2,4,"2.24","-0.20","-0.80"
"13","A","Lev","yes",1,0,1,"0.47","0.75","-0.05"
"14","H","Lei","yes",0,-1,2,"1.28","0.31","0.26"
"15","A","Aug","yes",1,0,1,"2.03","-0.09","0.17"
"16","H","Mai","yes",1,0,1,"2.43","-0.30","-0.13"
"17","A","Dar","yes",3,3,3,"2.72","-0.46","-0.59"
"18","A","Kln","yes",3,4,4,"2.46","-0.32","-0.91"
"19","H","Boc","yes",3,2,3,"2.41","-0.29","-1.20"
"20","A","Hei","yes",1,0,0,"1.94","-0.04","-1.24"
"21","H","Fbg","yes",3,3,3,"1.71","0.08","-1.16"
"22","A","Wol","yes",1,0,1,"2.11","-0.13","-1.29"
"23","H","Hof","yes",0,-1,2,"1.44","0.23","-1.07"
"24","A","UnB","yes",3,2,2,"2.12","-0.14","-1.21"
"25","A","Bre","yes",3,1,2,"2.19","-0.18","-1.38"
"26","H","Fra","yes",3,2,3,"1.86","0.00","-1.38"
"27","A","Mun","yes",3,2,2,"0.86","0.54","-0.84"
"28","H","Stu","yes",0,-1,0,"1.09","0.41","-0.42"
"29","A","BMg","no",NA,NA,NA,"2.18","-0.17","-0.59"
"30","H","Lev","no",NA,NA,NA,"0.25","0.87","0.27"
"31","A","Lei","no",NA,NA,NA,"1.33","0.29","0.56"
"32","H","Aug","no",NA,NA,NA,"1.89","-0.01","0.54"
"33","A","Mai","no",NA,NA,NA,"2.36","-0.26","0.28"
"34","H","Dar","no",NA,NA,NA,"2.39","-0.28","0.00"
