"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Lev","yes",0,-1,2,"0.59","0.61","0.61"
"2","A","Boc","yes",3,2,2,"2.09","-0.40","0.21"
"3","H","Stu","yes",0,-2,1,"1.43","0.04","0.25"
"4","A","Fra","yes",0,-2,0,"0.89","0.40","0.65"
"5","H","UnB","yes",3,1,1,"1.80","-0.21","0.44"
"6","A","Aug","yes",0,-1,1,"1.27","0.15","0.59"
"7","H","Hei","yes",3,1,3,"2.05","-0.37","0.22"
"8","A","Mai","yes",1,0,1,"1.37","0.08","0.31"
"9","H","Bre","yes",3,3,4,"1.06","0.29","0.60"
"10","A","Lei","yes",1,0,0,"1.05","0.30","0.89"
"11","H","StP","yes",3,2,2,"1.81","-0.21","0.69"
"12","A","Fbg","yes",0,-2,1,"1.05","0.30","0.98"
"13","H","Dor","yes",1,0,1,"1.84","-0.23","0.75"
"14","H","Kie","yes",3,3,4,"2.32","-0.55","0.20"
"15","A","Hof","yes",3,1,2,"1.80","-0.20","-0.01"
"16","H","Mun","yes",0,-1,0,"0.60","0.60","0.59"
"17","A","Wol","yes",0,-4,1,"1.86","-0.24","0.35"
"18","A","Lev","yes",0,-2,1,"0.81","0.45","0.81"
"19","H","Boc","yes",3,3,3,"2.23","-0.50","0.31"
"20","A","Stu","yes",3,1,2,"1.53","-0.02","0.29"
"21","H","Fra","yes",1,0,1,"1.37","0.08","0.37"
"22","A","UnB","yes",3,1,2,"1.57","-0.05","0.32"
"23","H","Aug","yes",0,-3,0,"1.53","-0.03","0.30"
"24","A","Hei","yes",3,3,3,"2.18","-0.46","-0.16"
"25","H","Mai","yes",0,-2,1,"1.33","0.11","-0.06"
"26","A","Bre","yes",3,2,4,"1.60","-0.07","-0.13"
"27","H","Lei","yes",3,1,1,"1.52","-0.02","-0.15"
"28","A","StP","yes",1,0,1,"1.96","-0.31","-0.46"
"29","H","Fbg","yes",0,-1,1,"1.48","0.01","-0.45"
"30","A","Dor","no",NA,NA,NA,"0.97","0.35","-0.09"
"31","A","Kie","no",NA,NA,NA,"2.17","-0.45","-0.55"
"32","H","Hof","no",NA,NA,NA,"1.96","-0.31","-0.86"
"33","A","Mun","no",NA,NA,NA,"0.42","0.72","-0.14"
"34","H","Wol","no",NA,NA,NA,"1.29","0.14","-0.00"
