"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Hof","yes",0,-1,2,"0.33","0.19","0.19"
"2","H","Wol","yes",0,-2,0,"0.23","0.43","0.62"
"3","H","Mun","yes",0,-5,1,"0.06","0.85","1.48"
"4","A","Boc","yes",1,0,2,"1.43","-2.54","-1.07"
"5","H","Fra","yes",0,-2,2,"0.14","0.65","-0.42"
"6","A","Lev","yes",1,0,2,"0.10","0.75","0.33"
"7","H","UnB","yes",0,-2,0,"0.63","-0.57","-0.24"
"8","A","Stu","yes",0,-1,1,"0.19","0.52","0.28"
"9","H","Hei","yes",3,1,1,"0.63","-0.57","-0.29"
"10","A","Bre","yes",0,-1,1,"0.32","0.20","-0.09"
"11","H","Mai","yes",0,-3,0,"0.28","0.31","0.22"
"12","A","StP","yes",0,-2,1,"0.42","-0.04","0.19"
"13","H","Lei","yes",0,-2,0,"0.23","0.44","0.63"
"14","A","BMg","no",NA,NA,NA,"0.17","0.58","1.21"
"15","H","Aug","no",NA,NA,NA,"0.80","-0.97","0.24"
"16","A","Fbg","no",NA,NA,NA,"0.14","0.64","0.88"
"17","H","Dor","no",NA,NA,NA,"0.87","-1.15","-0.26"
"18","H","Hof","no",NA,NA,NA,"0.83","-1.05","-1.31"
"19","A","Wol","no",NA,NA,NA,"0.22","0.46","-0.85"
"20","A","Mun","no",NA,NA,NA,"0.03","0.92","0.07"
"21","H","Boc","no",NA,NA,NA,"1.98","-3.91","-3.84"
"22","A","Fra","no",NA,NA,NA,"0.07","0.82","-3.02"
"23","H","Lev","no",NA,NA,NA,"0.14","0.65","-2.37"
"24","A","UnB","no",NA,NA,NA,"0.16","0.61","-1.76"
"25","H","Stu","no",NA,NA,NA,"0.34","0.17","-1.60"
"26","A","Hei","no",NA,NA,NA,"0.53","-0.31","-1.91"
"27","H","Bre","no",NA,NA,NA,"0.25","0.39","-1.52"
"28","A","Mai","no",NA,NA,NA,"0.37","0.08","-1.44"
"29","H","StP","no",NA,NA,NA,"0.46","-0.14","-1.58"
"30","A","Lei","no",NA,NA,NA,"0.20","0.52","-1.07"
"31","H","BMg","no",NA,NA,NA,"0.62","-0.53","-1.60"
"32","A","Aug","no",NA,NA,NA,"0.21","0.48","-1.13"
"33","H","Fbg","no",NA,NA,NA,"0.32","0.20","-0.92"
"34","A","Dor","no",NA,NA,NA,"0.03","0.92","0.00"
