"matchday","homeTeamName","homeTeamId","awayTeamName","awayTeamId","FTHG","FTAG","FTR","date","UTCtime","status"
1,"FC Bayern München",5,"RB Leipzig",721,6,0,"H","2025-08-22","18:30:00","FINISHED"
1,"Eintracht Frankfurt",19,"SV Werder Bremen",12,4,1,"H","2025-08-23","13:30:00","FINISHED"
1,"Bayer 04 Leverkusen",3,"TSG 1899 Hoffenheim",2,1,2,"A","2025-08-23","13:30:00","FINISHED"
1,"SC Freiburg",17,"FC Augsburg",16,1,3,"A","2025-08-23","13:30:00","FINISHED"
1,"1. FC Union Berlin",28,"VfB Stuttgart",10,2,1,"H","2025-08-23","13:30:00","FINISHED"
1,"1. FC Heidenheim 1846",44,"VfL Wolfsburg",11,1,3,"A","2025-08-23","13:30:00","FINISHED"
1,"FC St. Pauli 1910",20,"Borussia Dortmund",4,3,3,"D","2025-08-23","16:30:00","FINISHED"
1,"1. FSV Mainz 05",15,"1. FC Köln",1,0,1,"A","2025-08-24","13:30:00","FINISHED"
1,"Borussia Mönchengladbach",18,"Hamburger SV",7,0,0,"D","2025-08-24","15:30:00","FINISHED"
2,"Hamburger SV",7,"FC St. Pauli 1910",20,0,2,"A","2025-08-29","18:30:00","FINISHED"
2,"RB Leipzig",721,"1. FC Heidenheim 1846",44,2,0,"H","2025-08-30","13:30:00","FINISHED"
2,"SV Werder Bremen",12,"Bayer 04 Leverkusen",3,3,3,"D","2025-08-30","13:30:00","FINISHED"
2,"VfB Stuttgart",10,"Borussia Mönchengladbach",18,1,0,"H","2025-08-30","13:30:00","FINISHED"
2,"TSG 1899 Hoffenheim",2,"Eintracht Frankfurt",19,1,3,"A","2025-08-30","13:30:00","FINISHED"
2,"FC Augsburg",16,"FC Bayern München",5,2,3,"A","2025-08-30","16:30:00","FINISHED"
2,"VfL Wolfsburg",11,"1. FSV Mainz 05",15,1,1,"D","2025-08-31","13:30:00","FINISHED"
2,"Borussia Dortmund",4,"1. FC Union Berlin",28,3,0,"H","2025-08-31","15:30:00","FINISHED"
2,"1. FC Köln",1,"SC Freiburg",17,4,1,"H","2025-08-31","17:30:00","FINISHED"
3,"Bayer 04 Leverkusen",3,"Eintracht Frankfurt",19,3,1,"H","2025-09-12","18:30:00","FINISHED"
3,"SC Freiburg",17,"VfB Stuttgart",10,3,1,"H","2025-09-13","13:30:00","FINISHED"
3,"1. FSV Mainz 05",15,"RB Leipzig",721,0,1,"A","2025-09-13","13:30:00","FINISHED"
3,"VfL Wolfsburg",11,"1. FC Köln",1,3,3,"D","2025-09-13","13:30:00","FINISHED"
3,"1. FC Union Berlin",28,"TSG 1899 Hoffenheim",2,2,4,"A","2025-09-13","13:30:00","FINISHED"
3,"1. FC Heidenheim 1846",44,"Borussia Dortmund",4,0,2,"A","2025-09-13","13:30:00","FINISHED"
3,"FC Bayern München",5,"Hamburger SV",7,5,0,"H","2025-09-13","16:30:00","FINISHED"
3,"FC St. Pauli 1910",20,"FC Augsburg",16,2,1,"H","2025-09-14","13:30:00","FINISHED"
3,"Borussia Mönchengladbach",18,"SV Werder Bremen",12,0,4,"A","2025-09-14","15:30:00","FINISHED"
4,"VfB Stuttgart",10,"FC St. Pauli 1910",20,2,0,"H","2025-09-19","18:30:00","FINISHED"
4,"SV Werder Bremen",12,"SC Freiburg",17,0,3,"A","2025-09-20","13:30:00","FINISHED"
4,"FC Augsburg",16,"1. FSV Mainz 05",15,1,4,"A","2025-09-20","13:30:00","FINISHED"
4,"TSG 1899 Hoffenheim",2,"FC Bayern München",5,1,4,"A","2025-09-20","13:30:00","FINISHED"
4,"Hamburger SV",7,"1. FC Heidenheim 1846",44,2,1,"H","2025-09-20","13:30:00","FINISHED"
4,"RB Leipzig",721,"1. FC Köln",1,3,1,"H","2025-09-20","16:30:00","FINISHED"
4,"Eintracht Frankfurt",19,"1. FC Union Berlin",28,3,4,"A","2025-09-21","13:30:00","FINISHED"
4,"Bayer 04 Leverkusen",3,"Borussia Mönchengladbach",18,1,1,"D","2025-09-21","15:30:00","FINISHED"
