"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Bre","yes",3,3,4,"2.06","-0.28","-0.28"
"2","A","Hof","yes",3,2,3,"1.93","-0.20","-0.48"
"3","A","Lev","yes",0,-2,1,"0.94","0.42","-0.06"
"4","H","UnB","yes",0,-1,3,"1.72","-0.07","-0.13"
"5","A","BMg","yes",3,2,6,"2.55","-0.58","-0.71"
"6","H","Mun","yes",0,-3,0,"0.00","1.00","0.29"
"7","A","Fbg","yes",1,0,2,"1.71","-0.06","0.22"
"8","H","StP","yes",3,2,2,"2.08","-0.29","-0.07"
"9","A","Hei","no",NA,NA,NA,"2.34","-0.45","-0.52"
"10","H","Mai","no",NA,NA,NA,"2.44","-0.52","-1.03"
"11","A","Kln","no",NA,NA,NA,"1.84","-0.14","-1.18"
"12","H","Wol","no",NA,NA,NA,"2.03","-0.26","-1.44"
"13","A","Lei","no",NA,NA,NA,"0.19","0.88","-0.55"
"14","H","Aug","no",NA,NA,NA,"2.27","-0.41","-0.96"
"15","A","HSV","no",NA,NA,NA,"2.22","-0.38","-1.33"
"16","H","Dor","no",NA,NA,NA,"0.85","0.47","-0.86"
"17","A","Stu","no",NA,NA,NA,"0.63","0.61","-0.25"
"18","A","Bre","no",NA,NA,NA,"1.45","0.10","-0.15"
"19","H","Hof","no",NA,NA,NA,"0.75","0.54","0.39"
"20","H","Lev","no",NA,NA,NA,"0.98","0.39","0.78"
"21","A","UnB","no",NA,NA,NA,"1.44","0.11","0.89"
"22","H","BMg","no",NA,NA,NA,"2.52","-0.57","0.32"
"23","A","Mun","no",NA,NA,NA,"0.00","1.00","1.32"
"24","H","Fbg","no",NA,NA,NA,"2.11","-0.31","1.01"
"25","A","StP","no",NA,NA,NA,"1.70","-0.05","0.96"
"26","H","Hei","no",NA,NA,NA,"2.70","-0.67","0.28"
"27","A","Mai","no",NA,NA,NA,"2.58","-0.60","-0.32"
"28","H","Kln","no",NA,NA,NA,"1.72","-0.07","-0.39"
"29","A","Wol","no",NA,NA,NA,"2.30","-0.43","-0.81"
"30","H","Lei","no",NA,NA,NA,"0.30","0.81","0.00"
"31","A","Aug","no",NA,NA,NA,"2.14","-0.32","-0.32"
"32","H","HSV","no",NA,NA,NA,"2.39","-0.49","-0.81"
"33","A","Dor","no",NA,NA,NA,"0.35","0.78","-0.03"
"34","H","Stu","no",NA,NA,NA,"1.57","0.03","0.00"
